LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,위도,경도
stx 리조트,경북,경북 문경시 농암면 청화로 509,200개 이상,성급없음,휴양콘도미니엄업,154079,105000,270600,9,36.5693244855385,127.964359818535
경주 코오롱호텔,경북,경북 경주시 불국로 289-17,200개 이상,4성,관광호텔업,231518,74000,924000,9,35.7876928003298,129.321972908133
곤지암리조트,경기,경기 광주시 도척면 도척윗로 278,200개 이상,성급없음,숙박업(생활),276738,101823,501400,9,37.3375588747099,127.296189047378
그랜드 워커힐 서울,서울,서울특별시 광진구 워커힐로 177,200개 이상,5성,관광호텔업,418933,157700,762300,8,37.5586287308609,127.11170683593
그랜드 조선 부산,부산,부산 해운대구 해운대해변로 292,200개 이상,5성,관광호텔업,615915,219999,990000,9,35.1600663074705,129.163127599383
그랜드 하얏트 서울,서울,서울 용산구 소월로 322,200개 이상,5성,관광호텔업,613231,399000,998250,9,37.5397629769285,126.996240829219
금강산콘도,강원,강원도 고성군 현내면 금강산로 416,200개 이상,성급없음,휴양콘도미니엄업,135088,69000,259000,9,38.5108275218087,128.419358665203
금호 제주 리조트,제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,200개 이상,성급없음,숙박업(생활),169749,99450,310000,9,33.2736562562976,126.702755961891
금호리조트 통영,경남,경남 통영시 큰발개1길 33,200개 이상,성급없음,휴양콘도미니엄업,177637,118000,277300,9,34.827455630963,128.438742645585
금호리조트 화순,전남,전남 화순군 백아면 옥리길 14-21,200개 이상,성급없음,휴양콘도미니엄업,112774,94400,153400,8,35.1634675492371,127.083843963291
나인트리프리미어호텔인사동,서울,서울 종로구 인사동길 49,200개 이상,성급없음,관광호텔,231450,127067,510000,8,37.5744668688197,126.983552182559
네스트호텔(NEST HOTEL),인천,인천 중구 용유동 영종해안남로 19-5,200개 이상,5성,관광호텔업,304675,138600,990000,8,37.4245606805297,126.425382234647
노보텔 앰배서더 서울 용산,서울,서울 용산구 청파로20길 95,200개 이상,5성,관광호텔업,303097,123750,648450,9,37.5321681514111,126.960884174116
대구 인터불고 엑스코,대구,대구 북구 유통단지로 80,200개 이상,성급없음,관광호텔,181630,102850,532518,9,35.9069985378003,128.611285546387
덕구온천호텔,경북,경북 울진군 북면 덕구온천로 924,100개 이하,3성,관광호텔업,152676,86361,316250,9,37.0790482783807,129.284249404611
델피노 리조트,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,가족호텔업,243326,105000,523450,9,38.2131162786595,128.493440366843
동강시스타리조트,강원,강원도 영월군 영월읍 사지막길 160,200개 이상,성급없음,휴양콘도미니엄업,224114,89300,424000,9,37.2177943871239,128.51873186171
라마다 군산,전북,전북 군산시 대학로 400,200개 이하,4성,관광호텔업,136426,105424,206400,9,35.9588547607653,126.689988004197
