미디어타입,제목,장소명,장소타입,장소설명,주소,위도,경도,주소_지역명
artist,2AM,휘닉스 평창 스노우 파크,playground,"우리 결혼했어요 조권, 가인의 데이트 장소",강원도 평창군 봉평면 태기로 174,37.577868,128.32341,강원
artist,2AM,원마운트,playground,"우리 결혼했어요 진운, 고준희의 데이트 장소",경기도 고양시 일산서구 한류월드로 300,37.664347,126.754379,경기
artist,2AM,율동공원,playground,"우리 결혼했어요 조권, 가인의 데이트 장소",경기도 성남시 분당구 문정로 72,37.3765384,127.152391,경기
artist,2AM,베르아델승마클럽,playground,"우리 결혼했어요 진운, 고준희의 데이트 코스",경기도 안산시 단원구 부흥로 376,37.212744,126.608469,경기
artist,2AM,서원아트리움,playground,진운이 아이스버킷챌린지를 한 장소,경기도 파주시 광탄면 서원길 333,37.815938,126.896078,경기
artist,2AM,서울특별시 학생체육관,playground,레인보우 스타즈' 진운이 경기한 체육관,서울특별시 송파구 잠실동 10-3,37.512199,127.07525,서울
artist,2AM,그랜드하얏트서울 아이스링크,playground,"우리 결혼했어요 조권, 가인의 데이트 장소",서울특별시 용산구 소월로 322,37.539349,126.99715,서울
artist,2PM,경기도잣향기푸른숲,playground,찬성이 김비서가 왜 그럴까를 촬영한 곳,경기도 가평군 상면 축령로 289-146,37.769366,127.339123,경기
artist,2PM,쁘띠프랑스,playground,"택연, 닉쿤이 런닝맨을 촬영한 곳",경기도 가평군 청평면 호반로 1063,37.714908,127.490287,경기
artist,2PM,닭이봉춘천닭갈비 의정부점,restaurant,택연의 싸인이 있는 닭갈비집,경기도 의정부시 신흥로 196,37.733528,127.043793,경기
artist,2PM,한마음행복센터,playground,준호가 그냥 사랑하는 사이를 촬영한 복지회관,부산광역시 서구 천마산로 370,35.097029,129.016722,부산
artist,2PM,아실라,restaurant,닉쿤이 방문한 프라이빗 와인바,서울특별시 강남구 강남대로98길 16,37.500688,127.028069,서울
artist,2PM,마치래빗 샐러드 신사동가로수길본점,restaurant,준케이의 싸인 플레이트가 있는 샐러드샵,서울특별시 강남구 논현로153길 45,37.520293,127.024517,서울
artist,2PM,도쿄등심 압구정점,restaurant,멤버들이 함께 방문한 소고기 전문점,서울특별시 강남구 도산대로49길 9 스타크빌딩 3층 ,37.523312,127.037113,서울
artist,2PM,팔당닭발,restaurant,택연이 인간의 조건에서 방문한 닭발집,서울특별시 강남구 학동로45길 7,37.51672,127.0378039,서울
artist,2PM,히메시야,restaurant,닉쿤의 싸인이 있는 홍대 일식당,서울특별시 마포구 독막로15길 3-18,37.548639,126.921276,서울
artist,2PM,김사또상수본점,restaurant,준케이의 싸인이 있는 떡볶이집,서울특별시 마포구 서강동 와우산로 39,37.547983,126.922831,서울
artist,2PM,도쿄등심 롯데캐슬잠실점,restaurant,닉쿤의 싸인 플레이트가 있는 소고기 전문점,서울특별시 송파구 올림픽로 269,37.5142852,127.100694,서울
artist,2PM,카페후암동,cafe,택연이 방문한 후암동 커피 맛집,서울특별시 용산구 후암동 후암로 33,37.548701,126.97755,서울
artist,2PM,감고당길,playground,택연이 인터랙티브 무비 안녕을 촬영한 곳,서울특별시 종로구 율곡로3길,37.577861,126.982358,서울
artist,2PM,호박식당 약수본점,restaurant,멤버들이 함께 방문한 소갈비 맛집,서울특별시 중구 다산로 154,37.557271,127.01231,서울
artist,2PM,카페 누구나꽃,cafe,준호가 휴가중 방문한 카페,인천광역시 강화군 불은면 덕진로 89,37.651568,126.517667,인천
artist,2PM,대흘리에,stay,택연이 방문한 제주 풀빌라 펜션,제주특별자치도 제주시 조천읍 함선로 250,33.511016,126.68306,제주
artist,강다니엘,카페마리오,cafe,강다니엘이 다녀간 전망 좋은 가평 카페,경기도 가평군 가평읍 상지로 693,37.751219,127.495397,경기
artist,강다니엘,한국민속촌,playground,강다니엘 트래블로그 EP.5에서 방문한 장소,경기도 용인시 기흥구 민속촌로 90,37.260092,127.12036,경기
artist,강다니엘,도날드 떡볶이,restaurant,강다니엘이 즐겨 먹은 떡볶이,부산광역시 영도구 남항새싹길9,35.084824,129.042922,부산
artist,강다니엘,흰여울문화마을,playground,강다니엘의 영도 투어 추천 장소,부산광역시 영도구 영선동4가 605-3,35.078284,129.045318,부산
artist,강다니엘,태종대,playground,강다니엘의 영도투어 추천 장소,부산광역시 영도구 전망로 24,35.052886,129.0872,부산
artist,강다니엘,달뜨네,restaurant,모교 선생님과 함께 식사를 한 곳,부산광역시 영도구 절영로 205,35.0794042,129.0449779,부산
artist,강다니엘,영도대교,playground,강다니엘의 픽한 영도투어 중 한 곳,부산광역시 영도구 중앙동7가,35.095539,129.036477,부산
artist,강다니엘,남포수제비,restaurant,강다니엘이 추천한 남포동의 수제비 전문점,부산광역시 중구 광복로49번길 7-1 2층,35.099883,129.030525,부산
artist,강다니엘,이재모피자,restaurant,강다니엘이 추천한 남포동의 피자 맛집,부산광역시 중구 광복중앙로 31,35.102083,129.030812,부산
artist,강다니엘,꽁블라썸,store,강다니엘이 어머니께 드린 수국 꽃다발 구매한 곳,부산광역시 중구 동광길 28 아코디언 동상옆,35.103952,129.034545,부산
