미디어타입,제목,장소명,장소타입,장소설명,주소,위도,경도,주소_지역명
movie,1987,임진각,playground,영화 1987 초반부 김윤석이 차례를 지내는 곳,경기도 파주시 문산읍 임진각로 164,37.889542,126.740176,경기
movie,1987,문화공감수정,playground,영화 1987에 나온 부산역 카페,부산광역시 동구 홍곡로 75,35.125713,129.042622,부산
movie,1987,연세대학교 신촌캠퍼스,playground,영화 1987에서 김태리가 다닌 대학교,서울특별시 서대문구 연세로 50,37.5637563,126.937546,서울
movie,1987,민주인권기념관,playground,1987 촬영지이자 박종철이 고문으로 사망한 곳,서울특별시 용산구 한강대로71길 37,37.541025,126.971672,서울
movie,1987,천주교 서울대교구 주교좌명동대성당,playground,1987에서 김승훈 신부가 성명서를 발표한 곳,서울특별시 중구 명동길 74,37.5632772,126.986827,서울
movie,1987,서울특별시청,playground,영화 1987 마지막 장면의 배경이 된 장소,서울특별시 중구 세종대로 110 ,37.566291,126.977931,서울
movie,1987,연희네 슈퍼,playground,영화 1987에서 연희네 슈퍼로 나온 가게,전라남도 목포시 해안로127번길 14-2,34.78168,126.377325,전라
movie,1987,청남대,playground,1987에서 문성근과 김윤석이 만나는 곳,충청북도 청주시 상당구 문의면 청남대길 646 ,36.46255,127.4906,충청
movie,가장 보통의 연애,얼큰이네토종순대국전문점 본점,restaurant,영화 가장 보통의 연애에서 순대국 먹은 곳,경기도 고양시 덕양구 권율대로 892,37.5690699,126.9130881,경기
movie,가장 보통의 연애,성미골,restaurant,공효진의 통쾌한 복수신을 찍은 고기집,서울 마포구 월드컵로 137 102호,37.5590729,126.9049163,서울
movie,가장 보통의 연애,월스트리트,restaurant,영화 가장 보통의 연애에서 회식 장면을 찍은 곳,서울특별시 강남구 테헤란로83길 13,37.5082595,127.0552221,서울
movie,가장 보통의 연애,마포진짜원조최대포본점,restaurant,김래원과 공효진이 소주잔을 기울인 돼지고기 구이집,서울특별시 마포구 마포대로 112-4,37.544649,126.951868,서울
movie,가장 보통의 연애,마포나루 아크로점,restaurant,영화 가장 보통의 연애에서 회식장소로 나온 집,서울특별시 마포구 마포대로 68 마포아크로타워 지하 1층,37.5412579,126.9467487,서울
movie,가장 보통의 연애,ZIO커피 문정점,cafe,김래원의 취중 고백신을 찍은 문정동 카페,서울특별시 송파구 새말로 97 문정동 카센터,37.4827568,127.1224215,서울
movie,가장 보통의 연애,코코로,restaurant,공효진과 김래원의 취중진담신을 찍은 술집,서울특별시 송파구 올림픽로32길 41,37.5694964,126.9130871,서울
movie,가장 보통의 연애,연탄불,restaurant,김래원의 고백신을 찍은 닭갈비 집,서울특별시 영등포구 양산로17길 17,37.5259645,126.8914759,서울
movie,가장 보통의 연애,이목구비,restaurant,공효진과 김래원이 술게임을 즐긴 수제 맥주 펍,서울특별시 영등포구 영신로32길 19 ,37.519097,126.903283,서울
movie,가장 보통의 연애,월악산 국립공원사무소,playground,영화 가장 보통의 연애에서 회사 워크샵으로 온 산,충청북도 제천시 한수면 미륵송계로 1647,36.8870231,128.0763524,충청
movie,건축학개론,구둔역 폐역,station,서연(배수지)과 승민(이제훈)이 이곳에 와서 자신의 생일(11월 11일)이라고 말한다.,경기도 양평군 지평면 구둔역길 3,37.437333,127.688739,경기
movie,건축학개론,장미원 골목시장,playground,이제훈의 엄마가 운영했던 순대국밥집이 있는 곳,서울특별시 강북구 삼양로 464,37.644902,127.014635,서울
movie,건축학개론,경희대학교 문과대학,playground,수업을 마친 유연석과 수지가 대화하는 장소,서울특별시 동대문구 회기동 1,37.597182,127.054375,서울
movie,건축학개론,정릉,playground,이제훈과 수지가 처음 만난 곳,서울특별시 성북구 아리랑로19길 116,37.602094,127.006128,서울
