미디어타입,제목,장소명,장소타입,장소설명,주소,위도,경도,주소_지역명
show,1박2일 시즌1,옛날초당순두부,restaurant,글로벌특집 2탄을 촬영한 순두부 맛집,강원도 강릉시 경포동 운정길 141,37.786707,128.892774,강원
show,1박2일 시즌1,단천식당,restaurant,1박2일 멤버들이 방문한 순대 맛집,강원도 속초시 아바이마을길 17,38.202626,128.593672,강원
show,1박2일 시즌1,별마로천문대,playground,올빼미 여행 특집을 촬영한 천문대,강원도 영월군 영월읍 천문대길 397,37.198816,128.486792,강원
show,1박2일 시즌1,장금성,restaurant,성탄특집을 촬영한 짬뽕 맛집,강원도 원주시 판부면 치악로 1000,37.274739,128.014985,강원
show,1박2일 시즌1,숲속의빈터 방동막국수,restaurant,1박2일 멤버들이 방문한 막국수 맛집,강원도 인제군 기린면 조침령로 496,37.952463,128.358508,강원
show,1박2일 시즌1,정선레일바이크,playground,전국일주 특집을 촬영한 장소,강원도 정선군 여량면 노추산로 745,37.51688,128.727662,강원
show,1박2일 시즌1,덕산기계곡,playground,정선을 가다 편을 촬영한 계곡,강원도 정선군 정선읍 덕산기길 110,37.373367,128.711835,강원
show,1박2일 시즌1,가리산자연휴양림,playground,배달레이스를 촬영한 휴양림,강원도 홍천군 두촌면 가리산길 426,37.866729,127.982506,강원
show,1박2일 시즌1,신륵사 국민관광지,playground,1박 2일 은지원이 108배 한 여주 신륵사,경기도 여주군 여주읍 신륵사길 73,37.29756,127.66147,경기
show,1박2일 시즌1,헤이리 예술마을,playground,1박2일 윷놀이 미션을 한 파주 헤이리 예술마을,경기도 파주시 탄현면 헤이리마을길 70-21,37.788146,126.698883,경기
show,1박2일 시즌1,구조라 해수욕장,playground,1박2일에서 방문한 거제 8경 구조라해수욕장,경상남도 거제시 일운면 거제대로 2056,34.808882,128.690551,경상
show,1박2일 시즌1,현대찜닭,restaurant,경북 안동 특집 중 방문한 찜닭 맛집,경상북도 안동시 번영1길 47,36.56541,128.727802,경상
show,1박2일 시즌1,박달식당,restaurant,1박2일 멤버들이 방문한 순대국밥집,경상북도 예천군 용궁면 읍부리 397-10,36.607731,128.273585,경상
show,1박2일 시즌1,낙영찜갈비 본점,restaurant,강호동과 양준혁이 방문한 찜갈비 맛집,대구광역시 중구 동덕로36길 9-17,35.8712706,128.6049424,대구
show,1박2일 시즌1,부산사직종합운동장사직야구장,playground,1박2일 은지원과 이승기가 방문한 사직야구장,부산광역시 동래구 사직로 45,35.193917,129.061529,부산
show,1박2일 시즌1,부산 자갈치 시장,playground,얼음 배달을 하며 일손을 도운 자갈치 시장,부산광역시 중구 자갈치해안로 52,35.096659,129.030502,부산
show,1박2일 시즌1,해운대 해수욕장,playground,부산 특집을 촬영한 해수욕장,부산광역시 해운대구 우동,35.158647,129.160365,부산
show,1박2일 시즌1,을왕리해수욕장,playground,1박2일에서 방문한 을왕리 해수욕장,인천광역시 중구 용유서로302번길 16-15,37.447737,126.372515,인천
show,1박2일 시즌1,메타세쿼이아 가로수길,playground,1박2일 오프닝 장소였던 메타세쿼이아 길,전라남도 담양군 담양읍 학동리 633,35.3251724,127.009247,전라
show,1박2일 시즌1,순천만습지,playground,전국일주 특집을 촬영한 자연생태공원,전라남도 순천시 순천만길 513-25 ,34.88597,127.509028,전라
show,1박2일 시즌1,청하식당,restaurant,영암편을 촬영한 낙지 맛집,전라남도 영암군 학산면 독천로 170-1,34.725038,126.567914,전라
show,1박2일 시즌1,마라도해녀촌짜장,restaurant,제주도를 가다 편을 촬영한 짜장면 맛집,제주특별자치도 서귀포시 대정읍 가파리 588,33.119912,126.267075,제주
show,1박2일 시즌1,토끼와거북이,restaurant,가파도여행 2편을 촬영한 한식당,제주특별자치도 제주시 서해안로 498-6,33.518829,126.492183,제주
show,1박2일 시즌1,감초식당,restaurant,5대섬 특집편에서 방문한 순대 맛집,제주특별자치도 제주시 이도1동 동광로1길 32,33.503296,126.52777,제주
show,1박2일 시즌1,협재해수욕장,playground,이승기가 오토바이를 타고 방문한 협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,33.394065,126.239527,제주
show,1박2일 시즌1,공산성,playground,박찬호의 야간 훈련 장소였던 공산성,충청남도 공주시 웅진로 280,36.465013,127.12361,충청
show,1박2일 시즌4,미인폭포,playground,"딘딘, 라비, 연정훈이 추가촬영미션을 하러 간 곳",강원도 삼척시 도계읍 심포리 미인폭포,37.182597,129.049232,강원
