Name,Category,Score,Review_Num,Link,Addr,ADDR_area
덕수식당,restaurant,4.7,670,https://place.map.kakao.com/8891473,충남 태안군 태안읍 중앙로 133-8 1층(지번) 태안읍 동문리 339-15,충청
한일식당,restaurant,3.6,347,https://place.map.kakao.com/9573537,충남 예산군 삽교읍 삽교역로 58(지번) 삽교읍 신가리 20-14,충청
장춘닭개장,restaurant,4.2,187,https://place.map.kakao.com/11169052,충남 당진시 정안로 50 1층(지번) 원당동 381,충청
엄가네본가시골집,restaurant,3.7,284,https://place.map.kakao.com/13311506,충남 천안시 서북구 봉정로 168-2(지번) 성정동 142-6,충청
에이스식당,restaurant,4.8,109,https://place.map.kakao.com/9250070,충남 당진시 면천면 면천서문1길 70(지번) 면천면 성상리 768-1,충청
뚜쥬루 돌가마점,cafe,4.1,872,https://place.map.kakao.com/23578013,충남 천안시 동남구 풍세로 706(지번) 구룡동 564-27,충청
뚜쥬루 성정점,cafe,4.1,43,https://place.map.kakao.com/21351241,충남 천안시 서북구 백석로 270(지번) 성정동 695-1,충청
낭만고깃집형님 두정본점,restaurant,4.1,4,https://place.map.kakao.com/26092532,충남 천안시 서북구 노태산로 56 1층(지번) 두정동 596,충청
천진중화요리,restaurant,3.8,34,https://place.map.kakao.com/8581907,충남 천안시 동남구 공고담길 43-5(지번) 신부동 386-125,충청
혜주네맛집,restaurant,4.7,23,https://place.map.kakao.com/26813057,충남 당진시 신평면 맷돌포길 70(지번) 신평면 부수리 224-1,충청
산애들애,restaurant,3.7,1164,https://place.map.kakao.com/21345355,충남 논산시 연산면 황룡재로 64-11 1층(지번) 연산면 연산리 54-9,충청
반월소바,restaurant,4.3,794,https://place.map.kakao.com/21254192,충남 논산시 해월로 132 1층(지번) 반월동 176-5,충청
한우가좋은날,restaurant,3.6,135,https://place.map.kakao.com/251870636,충남 아산시 음봉면 탕정면로 507 1층(지번) 음봉면 덕지리 170,충청
덕수식당,restaurant,4.7,670,https://place.map.kakao.com/8891473,충남 태안군 태안읍 중앙로 133-8 1층(지번) 태안읍 동문리 339-15,충청
한일식당,restaurant,3.6,347,https://place.map.kakao.com/9573537,충남 예산군 삽교읍 삽교역로 58(지번) 삽교읍 신가리 20-14,충청
장춘닭개장,restaurant,4.2,187,https://place.map.kakao.com/11169052,충남 당진시 정안로 50 1층(지번) 원당동 381,충청
엄가네본가시골집,restaurant,3.7,284,https://place.map.kakao.com/13311506,충남 천안시 서북구 봉정로 168-2(지번) 성정동 142-6,충청
에이스식당,restaurant,4.8,109,https://place.map.kakao.com/9250070,충남 당진시 면천면 면천서문1길 70(지번) 면천면 성상리 768-1,충청
뚜쥬루 돌가마점,cafe,4.1,872,https://place.map.kakao.com/23578013,충남 천안시 동남구 풍세로 706(지번) 구룡동 564-27,충청
뚜쥬루 성정점,cafe,4.1,43,https://place.map.kakao.com/21351241,충남 천안시 서북구 백석로 270(지번) 성정동 695-1,충청
낭만고깃집형님 두정본점,restaurant,4.1,4,https://place.map.kakao.com/26092532,충남 천안시 서북구 노태산로 56 1층(지번) 두정동 596,충청
천진중화요리,restaurant,3.8,34,https://place.map.kakao.com/8581907,충남 천안시 동남구 공고담길 43-5(지번) 신부동 386-125,충청
혜주네맛집,restaurant,4.7,23,https://place.map.kakao.com/26813057,충남 당진시 신평면 맷돌포길 70(지번) 신평면 부수리 224-1,충청
산애들애,restaurant,3.7,1164,https://place.map.kakao.com/21345355,충남 논산시 연산면 황룡재로 64-11 1층(지번) 연산면 연산리 54-9,충청
반월소바,restaurant,4.3,794,https://place.map.kakao.com/21254192,충남 논산시 해월로 132 1층(지번) 반월동 176-5,충청
한우가좋은날,restaurant,3.6,135,https://place.map.kakao.com/251870636,충남 아산시 음봉면 탕정면로 507 1층(지번) 음봉면 덕지리 170,충청
뚜쥬루 거북이점,cafe,3.7,264,https://place.map.kakao.com/27463396,충남 천안시 서북구 봉서산로 69-22(지번) 불당동 763,충청
딴뚝통나무집식당,restaurant,3.8,3762,https://place.map.kakao.com/12344439,충남 태안군 안면읍 조운막터길 23-22 1층(지번) 안면읍 승언리 60-42,충청
뜨끈이집해장국,restaurant,3.9,95,https://place.map.kakao.com/21275371,충남 예산군 덕산면 덕산온천로 331-6(지번) 덕산면 신평리 265-8,충청
내당한우,restaurant,4.0,189,https://place.map.kakao.com/11891832,충남 홍성군 홍성읍 아문길52번길 6(지번) 홍성읍 오관리 393-2,충청
블렌데렌,cafe,4.6,154,https://place.map.kakao.com/853217400,"충남 천안시 동남구 먹거리8길 5 1, 2층(지번) 신부동 452-10",충청
마곡사서울식당,restaurant,3.9,200,https://place.map.kakao.com/635769168,충남 공주시 사곡면 마곡상가길 13-2(지번) 사곡면 운암리 729-10,충청
카페피어라,cafe,3.8,1002,https://place.map.kakao.com/587310721,충남 당진시 합덕읍 합덕대덕로 502-24(지번) 합덕읍 석우리 48-35,충청
목화반점,restaurant,3.7,964,https://place.map.kakao.com/7876599,충남 아산시 온주길26번길 7-3 1층(지번) 읍내동 151-3,충청
아우어베이커리 천안신불당점,cafe,4.1,213,https://place.map.kakao.com/332566550,충남 천안시 서북구 불당23로 73-27 1층 140~143호(지번) 불당동 1491,충청
초원콩국수,restaurant,4.1,128,https://place.map.kakao.com/1024464268,충남 당진시 면천면 동문1길 14(지번) 면천면 성상리 1117,충청
서들한우,restaurant,4.4,988,https://place.map.kakao.com/1807140510,충남 천안시 서북구 두정고5길 34 1층(지번) 두정동 1978,충청
소플러스 천안점,restaurant,4.6,67,https://place.map.kakao.com/33294791,충남 천안시 서북구 음봉로 909-11 1동 1층(지번) 백석동 604-2,충청
세종이도삼계탕 본점,restaurant,3.5,85,https://place.map.kakao.com/1937466785,충남 아산시 배방읍 배방로14번길 20-3 1층(지번) 배방읍 공수리 1508,충청
신사우물갈비 불당본점,restaurant,4.5,1963,https://place.map.kakao.com/787754999,충남 천안시 서북구 불당25로 182 1층(지번) 불당동 1531,충청
고마나루1999,restaurant,4.2,139,https://place.map.kakao.com/8684887,충남 공주시 백미고을길 5-8(지번) 금성동 183-4,충청
한우드소 염치점,restaurant,3.6,540,https://place.map.kakao.com/12695164,충남 아산시 염치읍 염치로 5 1층(지번) 염치읍 염성리 215-4,충청
산장식당,restaurant,3.7,22,https://place.map.kakao.com/1118998821,충남 아산시 염치읍 현대로 434 지하 1층(지번) 염치읍 산양리 116,충청
분반차 정다운아지트,restaurant,4.0,251,https://place.map.kakao.com/27420325,충남 공주시 반포면 정광터1길 70 1층(지번) 반포면 봉곡리 325-24,충청
그니식당 평양냉면,restaurant,4.2,145,https://place.map.kakao.com/1928169619,충남 천안시 서북구 두정중7길 34 1층 101호(지번) 두정동 1517,충청
죽순산장,restaurant,4.0,175,https://place.map.kakao.com/11155160,충남 아산시 음봉면 음봉면로 227(지번) 음봉면 원남리 262,충청
장칼국수,restaurant,4.1,601,https://place.map.kakao.com/24269752,충남 천안시 동남구 천안천8길 49 1층(지번) 신부동 623,충청
루치아의 뜰,cafe,4.4,198,https://place.map.kakao.com/21626744,충남 공주시 웅진로 145-8(지번) 중동 171-2,충청
조리고 직산점,restaurant,4.2,97,https://place.map.kakao.com/1378832192,충남 천안시 서북구 성거읍 직산로 18-70 1층(지번) 성거읍 신월리 1,충청
길목식당,restaurant,4.4,17,https://place.map.kakao.com/15566568,충남 아산시 온천대로 1491-2 지하1층(지번) 온천동 91-8,충청
원당풍천장어,restaurant,4.6,30,https://place.map.kakao.com/1927736058,충남 당진시 고실1길 41-10(지번) 수청동 438-1,충청
공주집,restaurant,3.5,200,https://place.map.kakao.com/11032502,충남 천안시 서북구 성환읍 송덕2길 113 1층(지번) 성환읍 송덕리 54-3,충청
라루체,cafe,4.7,353,https://place.map.kakao.com/1306216300,충남 공주시 반포면 계룡대로 1392(지번) 반포면 학봉리 260-1,충청
백향,restaurant,4.3,198,https://place.map.kakao.com/27319942,충남 천안시 동남구 화령길 3-52 1층(지번) 유량동 393-23,충청
시골통닭,restaurant,3.9,401,https://place.map.kakao.com/21255026,충남 부여군 부여읍 중앙로5번길 14-9 1층(지번) 부여읍 구아리 173,충청
조리고 천안점,restaurant,4.3,192,https://place.map.kakao.com/549841262,"충남 천안시 동남구 차돌고개7길 1 2, 3층(지번) 다가동 376-4",충청
구옹진냉면,restaurant,3.7,107,https://place.map.kakao.com/9670552,충남 서산시 번화2로 8-2 1층(지번) 읍내동 141-22,충청
청당정원,restaurant,4.0,305,https://place.map.kakao.com/97977104,충남 천안시 동남구 청당2길 131 1층(지번) 청당동 143,충청
꽃게와꽃게집 본점,restaurant,4.6,1451,https://place.map.kakao.com/27414603,충남 당진시 송악읍 신복운로 173-1 1층(지번) 송악읍 복운리 1642-9,충청
인주 필드점,cafe,4.3,483,https://place.map.kakao.com/958410011,충남 아산시 배방읍 호서로 272(지번) 배방읍 회룡리 160-1,충청
원산면옥,restaurant,4.1,891,https://place.map.kakao.com/176605451,충남 논산시 은진면 매죽헌로 99 1층(지번) 은진면 연서리 491,충청
부자상황삼계탕,restaurant,4.5,8,https://place.map.kakao.com/26315881,충남 천안시 서북구 동서대로 17-40(지번) 백석동 107-1,충청
하루,cafe,4.8,70,https://place.map.kakao.com/20796261,충남 아산시 용화로48번길 4-10 1층(지번) 온천동 3094,충청
육품,restaurant,4.9,96,https://place.map.kakao.com/26775253,충남 아산시 음봉면 월암로 86(지번) 음봉면 월랑리 197-3,충청
우렁이박사,restaurant,4.0,761,https://place.map.kakao.com/8031120,충남 당진시 신평면 샛터로 7-1 1층(지번) 신평면 도성리 499-11,충청
삿뽀로 천안점,restaurant,3.8,48,https://place.map.kakao.com/12515606,충남 천안시 서북구 원두정1길 7 1-2층(지번) 두정동 807,충청
중식이맛있는집 메이탄 천안점,restaurant,3.6,157,https://place.map.kakao.com/24823059,충남 천안시 서북구 다가말3길 2 2층(지번) 쌍용동 542-5,충청
스시린 두정점,restaurant,4.4,236,https://place.map.kakao.com/584489111,충남 천안시 서북구 원두정8길 6 1층(지번) 두정동 899,충청
