Name,Category,Score,Review_Num,Link,Addr
일미아구찜,아구,3.4,230,https://place.map.kakao.com/9368015,"
부산 기장군 일광읍 학리등대로 102 1층
(지번) 일광읍 학리 120-1
"
외식1번가 연제점,갈비,3.6,148,https://place.map.kakao.com/17039688,"
부산 연제구 월드컵대로 201
(지번) 거제동 37-11
"
금수복국 해운대본점,복어,3.9,1276,https://place.map.kakao.com/8708426,"
부산 해운대구 중동1로43번길 23 1-3층
(지번) 중동 1394-65
"
수림횟집,회,3.6,394,https://place.map.kakao.com/15246185,"
부산 해운대구 해운대해변로221번길 15 1층
(지번) 우동 647-1
"
대궐안집,갈비,3.3,185,https://place.map.kakao.com/8285082,"
부산 사상구 광장로 68 1-2층
(지번) 괘법동 559-11
"
홍유단 남포본점,중국요리,4.0,1974,https://place.map.kakao.com/753120163,"
부산 중구 구덕로34번길 5 2-3층
(지번) 남포동2가 24-2
"
주문진막국수,국수,3.2,920,https://place.map.kakao.com/17959212,"
부산 동래구 사직로58번길 8
(지번) 사직동 92-1
"
동경밥상,일식,3.9,515,https://place.map.kakao.com/1281283194,"
부산 수영구 남천바다로 34-6
(지번) 남천동 3-25
"
이재모피자 본점,피자,4.4,2303,https://place.map.kakao.com/10070964,"
부산 중구 광복중앙로 31 중앙아파트 상가 2층
(지번) 신창동1가 2-1
"
더스타뷔페,뷔페,3.8,199,https://place.map.kakao.com/25631051,"
부산 부산진구 중앙대로666번길 50 더샵센트럴스타상가동 지하2층
(지번) 부전동 537-9
"
송정삼대국밥,국밥,2.9,285,https://place.map.kakao.com/10551889,"
부산 부산진구 서면로68번길 33
(지번) 부전동 255-19
"
금수복국 센텀벡스코점,복어,4.1,12,https://place.map.kakao.com/780717948,"
부산 해운대구 센텀3로 26 센텀스퀘어 101-1호
(지번) 우동 1506
"
블랙업커피 서면본점,카페,4.4,288,https://place.map.kakao.com/12807299,"
부산 부산진구 서전로10번길 41
(지번) 부전동 168-152
"
라마앤바바나 서면점,인도음식,3.5,4337,https://place.map.kakao.com/18773207,"
부산 부산진구 중앙대로680번길 45-8 1층
(지번) 부전동 223-6
"
해운대암소갈비집,갈비,3.2,1709,https://place.map.kakao.com/8149130,"
부산 해운대구 해운대해변로 333 1층
(지번) 중동 1225-1
"
식당3선 센텀1관,갈비,3.8,336,https://place.map.kakao.com/807850458,"
부산 해운대구 해운대로 230
(지번) 재송동 672-1
"
샤브 애작,샤브샤브,2.9,656,https://place.map.kakao.com/838383967,"
부산 해운대구 센텀동로 67 1층
(지번) 우동 1456
"
담미옥,냉면,4.0,245,https://place.map.kakao.com/1712286950,"
부산 부산진구 복지로 15 1층 103호
(지번) 개금동 523-27
"
비학산보리밥생칼국수,칼국수,3.2,258,https://place.map.kakao.com/17798951,"
부산 해운대구 센텀2로 25 센텀드림월드 303호
(지번) 우동 1510
"
합천일류돼지국밥 사상점,국밥,3.4,1809,https://place.map.kakao.com/10928210,"
부산 사상구 광장로 34 1층
(지번) 괘법동 565-6
"
카페피크닉,카페,4.5,205,https://place.map.kakao.com/1964833418,"
부산 수영구 수영로510번길 40 1층
(지번) 광안동 185-8
"
전주식당,한식,3.7,110,https://place.map.kakao.com/21828398,"
부산 부산진구 동성로 113-1 1층
(지번) 전포동 192-13
"
해운대31cm해물칼국수 직영1호점,칼국수,4.3,81,https://place.map.kakao.com/216893493,"
부산 해운대구 구남로41번길 46 1층
(지번) 중동 1394-2
"
원조부산밀면,국수,4.3,460,https://place.map.kakao.com/1044347839,"
부산 동구 중앙대로231번길 7 1층
(지번) 초량동 349-1
"
센텀마마뷔페,뷔페,3.5,186,https://place.map.kakao.com/842275661,"
부산 해운대구 센텀1로 17 센텀프리미어호텔 3층
(지번) 우동 1521
"
스콜,양식,4.3,554,https://place.map.kakao.com/13651861,"
부산 부산진구 서면문화로 32 3, 4층
(지번) 부전동 400-10
"
솔탭하우스,"호프,요리주점",4.2,191,https://place.map.kakao.com/1703285478,"
부산 수영구 광안해변로 153 4층
(지번) 광안동 204-13
"
밥상,한식,3.4,106,https://place.map.kakao.com/14578605,"
부산 부산진구 중앙대로 673 1층
(지번) 부전동 232-45
"
연의양과,디저트카페,4.1,1148,https://place.map.kakao.com/1982570270,"
부산 부산진구 동천로 56 1층
(지번) 전포동 692-3
"
해목,일식,4.1,363,https://place.map.kakao.com/977177107,"
부산 해운대구 구남로24번길 8 1층
(지번) 우동 542-30
"
바오하우스,아시아음식,3.9,1678,https://place.map.kakao.com/950075258,"
부산 부산진구 서전로38번길 62-9 1-2층
(지번) 전포동 685-3
"
광안리맛집 구명애포항물회 광안리횟집,회,4.0,486,https://place.map.kakao.com/1584932987,"
부산 수영구 수영로606번길 9 늘푸른빌딩 1층
(지번) 광안동 120-103
"
내호냉면,냉면,3.6,632,https://place.map.kakao.com/11023144,"
부산 남구 우암번영로26번길 17 1층
(지번) 우암동 189-671
"
우정돌솥비빔밥 서면점,한식,3.9,121,https://place.map.kakao.com/279263280,"
부산 부산진구 동천로85번길 3 1층
(지번) 부전동 168-365
"
하기연진주냉면,냉면,2.7,98,https://place.map.kakao.com/16406117,"
부산 사하구 괴정로 34
(지번) 하단동 239-1
"
장원육전밀면,국수,4.3,58,https://place.map.kakao.com/495734661,"
부산 사상구 가야대로 274-11 1층
(지번) 주례동 1162-103
"
주화담,"호프,요리주점",4.5,208,https://place.map.kakao.com/1513505684,"
부산 동래구 명륜로139번길 45 2층
(지번) 명륜동 551-23
"
공감식당 덕천점,"육류,고기",4.2,1736,https://place.map.kakao.com/686061114,"
부산 북구 덕천1길 50 1층
(지번) 덕천동 402-8
"
플랜비 부산서면점,뷔페,2.7,76,https://place.map.kakao.com/2087302333,"
부산 부산진구 중앙대로702번길 33 4층
(지번) 부전동 168-448
"
나마스테 해운대점,인도음식,4.6,276,https://place.map.kakao.com/12541315,"
부산 해운대구 해운대해변로265번길 7
(지번) 우동 626-4
"
수변최고돼지국밥 민락본점,국밥,4.1,2304,https://place.map.kakao.com/14635779,"
부산 수영구 광안해변로370번길 9-32 1층
(지번) 민락동 110-54
"
선창횟집,회,4.1,1631,https://place.map.kakao.com/16782673,"
부산 해운대구 달맞이길62번길 67
(지번) 중동 996-6
"
사미헌,한식,4.3,406,https://place.map.kakao.com/7921205,"
부산 부산진구 서면문화로 19
(지번) 부전동 474-26
"
거창맷돌 부곡점,두부전문점,3.7,189,https://place.map.kakao.com/16233159,"
부산 금정구 부곡로 158 1층
(지번) 부곡동 265-9
"
해운대가야밀면,국수,3.8,1931,https://place.map.kakao.com/15555120,"
부산 해운대구 좌동순환로 27 1층
(지번) 좌동 1352-1
"
영남식육식당 동래점,"육류,고기",4.3,162,https://place.map.kakao.com/21965019,"
부산 동래구 명륜로112번가길 51 1층
(지번) 명륜동 570
"
모모스커피 부산본점,커피전문점,4.3,490,https://place.map.kakao.com/27259030,"
부산 금정구 오시게로 20 1층
(지번) 부곡동 873-98
"
배종관동래삼계탕,삼계탕,3.5,315,https://place.map.kakao.com/11270346,"
부산 동래구 동래로116번길 39
(지번) 복천동 319-1
"
백화양곱창 6호,"곱창,막창",3.3,749,https://place.map.kakao.com/7886000,"
부산 중구 자갈치로23번길 6 1층 6호
(지번) 남포동6가 32
"
만배아리랑보쌈,"족발,보쌈",4.4,99,https://place.map.kakao.com/1259290317,"
부산 부산진구 부전로152번길 34
(지번) 부전동 352-1
"
아브니르,카페,3.8,502,https://place.map.kakao.com/221554188,"
부산 동구 증산로 40
(지번) 좌천동 838-2
"
자갈치횟집,회,4.3,438,https://place.map.kakao.com/21722229,"
부산 수영구 수영로702번길 28 1층
(지번) 광안동 75-2
"
오복돼지국밥,국밥,4.1,366,https://place.map.kakao.com/455501700,"
부산 해운대구 구남로 15 1층
(지번) 우동 618-13
"
나가하마만게츠,일본식라면,4.2,1631,https://place.map.kakao.com/654919659,"
부산 해운대구 우동1로 57 대영빌딩 1층
(지번) 우동 397-22
"
호포갈비 문현점,갈비,3.2,334,https://place.map.kakao.com/374603357,"
부산 남구 우암로 359 2층
(지번) 문현동 828-1
"
그랜드애플,뷔페,4.1,451,https://place.map.kakao.com/15202235,"
부산 해운대구 센텀1로 25 한샘플러그샵 5-6층
(지번) 우동 1515
"
에프엠커피,커피전문점,4.3,176,https://place.map.kakao.com/13318273,"
부산 부산진구 전포대로199번길 26 1층
(지번) 전포동 685-11
"
아수라,한식,3.3,3835,https://place.map.kakao.com/23524217,"
부산 기장군 기장읍 반송로 1628 1층
(지번) 기장읍 동부리 379-2
"
중구기사식당,기사식당,4.7,85,https://place.map.kakao.com/16923861,"
부산 중구 동영로 83 1층
(지번) 영주동 277-11
"
온담,"육류,고기",4.7,616,https://place.map.kakao.com/1806080981,"
부산 부산진구 전포대로 225 경무빌딩 대로변 1층
(지번) 전포동 675-5
"
고등어다찌 연산본점,회,4.4,1886,https://place.map.kakao.com/12743016,"
부산 연제구 고분로31번길 42
(지번) 연산동 615-85
"
톤쇼우 부산대본점,"돈까스,우동",4.1,1473,https://place.map.kakao.com/704518356,"
부산 금정구 금강로 247-10 1층
(지번) 장전동 419-21
"
홍유단 사상점,중국요리,4.5,1426,https://place.map.kakao.com/1749625682,"
부산 사상구 사상로 204 2층
(지번) 괘법동 535-18
"
타이빈,태국음식,3.5,521,https://place.map.kakao.com/255150059,"
부산 동래구 금강로73번길 12 1층
(지번) 온천동 436-12
"
술고당,한정식,4.2,112,https://place.map.kakao.com/27374744,"
부산 중구 중구로24번길 11-1 2층
(지번) 신창동3가 20-2
"
브룩스,디저트카페,4.0,377,https://place.map.kakao.com/787386756,"
부산 부산진구 서전로10번길 28 오기빌딩 1층 101호
(지번) 부전동 156-28
"
티앤북스 광안점,북카페,4.5,297,https://place.map.kakao.com/1129640735,"
부산 수영구 민락수변로 29 8층 801~803호
(지번) 민락동 181-223
"
진팔팔감자탕 본점,감자탕,3.4,215,https://place.map.kakao.com/1596552168,"
부산 기장군 장안읍 고무로 326 1층
(지번) 장안읍 길천리 330-6
"
송화루,중국요리,3.9,70,https://place.map.kakao.com/20190351,"
부산 동래구 아시아드대로207번길 9 유림아파트 상가 1층 122호
(지번) 온천동 1266-1
"
해운마루,회,3.9,403,https://place.map.kakao.com/10908997,"
부산 해운대구 달맞이길62번길 65 1층
(지번) 중동 996-1
"
이너프,카페,4.2,87,https://place.map.kakao.com/822092003,"
부산 부산진구 서전로37번길 26 1층 148,160호
(지번) 전포동 664-7
"
영남돼지,"육류,고기",4.4,101,https://place.map.kakao.com/461250223,"
부산 해운대구 해운대해변로209번가길 13
(지번) 우동 647-2
"
양산왕돼지국밥,국밥,3.7,322,https://place.map.kakao.com/20201850,"
부산 해운대구 재반로 70
(지번) 재송동 1118-7
"
미피카페 부산점,카페,3.4,534,https://place.map.kakao.com/1905406624,"
부산 영도구 와치로51번길 2 2,3층
(지번) 청학동 148-203
"
샤브20 부산서면점,샤브샤브,4.2,155,https://place.map.kakao.com/978121335,"
부산 부산진구 중앙대로680번가길 38 2층
(지번) 부전동 175
"
딤타오,중국요리,4.0,662,https://place.map.kakao.com/2132611355,"
부산 해운대구 우동1로 25 1층
(지번) 우동 495-4
"
본가밀면전문점,국수,4.0,304,https://place.map.kakao.com/21339335,"
부산 부산진구 서면로68번길 19-1 1층
(지번) 부전동 255-7
"
본전돼지국밥,국밥,3.5,1638,https://place.map.kakao.com/12478775,"
부산 동구 중앙대로214번길 3-8
(지번) 초량동 1200-6
"
옛날오막집,"곱창,막창",3.4,183,https://place.map.kakao.com/25050154,"
부산 서구 구덕로274번길 14
(지번) 동대신동1가 236-3
"
기장손칼국수,칼국수,3.6,998,https://place.map.kakao.com/11495457,"
부산 부산진구 서면로 56 1층
(지번) 부전동 256-6
"
대양곱창연탄구이,"곱창,막창",4.4,235,https://place.map.kakao.com/15788444,"
부산 중구 비프광장로 3
(지번) 부평동2가 42-3
"
옵스 해운대점,"제과,베이커리",3.3,511,https://place.map.kakao.com/8010849,"
부산 해운대구 중동1로 31
(지번) 중동 1394-82
"
솔내음한정식,한정식,3.2,2124,https://place.map.kakao.com/16610024,"
부산 해운대구 달맞이길117번길 17-11 이조빌딩 3층
(지번) 중동 1509-5
"
초량밀면,국수,3.3,1343,https://place.map.kakao.com/27365831,"
부산 동구 중앙대로 225 1층
(지번) 초량동 363-2
"
압구정갈비,갈비,2.7,25,https://place.map.kakao.com/11105747,"
부산 금정구 청룡로 61
(지번) 남산동 953-11
"
해성막창집 본점,"곱창,막창",2.7,306,https://place.map.kakao.com/27503208,"
부산 해운대구 중동1로19번길 29 1층
(지번) 중동 1732
"
불끈낙지 개금점,"해물,생선",3.5,219,https://place.map.kakao.com/25416586,"
부산 부산진구 가야대로410번길 4 1층
(지번) 개금동 496-6
"
언양불고기 부산집본가,"불고기,두루치기",2.9,160,https://place.map.kakao.com/1865926704,"
부산 수영구 남천바다로33번길 8
(지번) 광안동 204-6
"
카페385,카페,3.4,1013,https://place.map.kakao.com/55207990,"
부산 영도구 태종로 539
(지번) 동삼동 176-2
"
해운대할매집,국밥,4.2,52,https://place.map.kakao.com/27535411,"
부산 해운대구 중동2로10번길 7 1층
(지번) 중동 1373-10
"
포항물횟집,회,4.4,55,https://place.map.kakao.com/10892417,"
부산 부산진구 새싹로29번길 14-7
(지번) 부전동 403-35
"
신흥반점,중국요리,3.4,49,https://place.map.kakao.com/10614398,"
부산 서구 충무대로 284-1
(지번) 충무동1가 14-34
"
석정갈비,갈비,4.4,270,https://place.map.kakao.com/1978720915,"
부산 동래구 중앙대로1367번길 72
(지번) 온천동 779-29
"
EU피자&파스타 서면본점,피자,3.2,1145,https://place.map.kakao.com/2028153314,"
부산 부산진구 중앙대로680번길 29 1층
(지번) 부전동 220-14
"
카페오뜨 광안비치점,커피전문점,3.2,227,https://place.map.kakao.com/1519162143,"
부산 수영구 광안해변로 209 2,3층
(지번) 광안동 196-1
"
양자강,중국요리,3.1,26,https://place.map.kakao.com/15554936,"
부산 금정구 금단로 191
(지번) 남산동 256-22
"
함경면옥 함흥냉면전문점 동래본점,냉면,2.8,110,https://place.map.kakao.com/8147361,"
부산 동래구 온천장로 64 1층
(지번) 온천동 183-8
"
재기돼지국밥,국밥,3.9,349,https://place.map.kakao.com/16213715,"
부산 영도구 절영로49번길 25 1층
(지번) 남항동1가 171-10
"
제주가 부산역직영점,"굴,전복",4.2,67,https://place.map.kakao.com/872654406,"
부산 동구 중앙대로196번길 6-9 1층
(지번) 초량동 1204-8
"
정동진,한식,4.0,203,https://place.map.kakao.com/27482884,"
부산 부산진구 서면문화로 37 2층
(지번) 부전동 406-14
"
행복식당 2호점,조개,4.2,1336,https://place.map.kakao.com/26608826,"
부산 해운대구 해운대해변로265번길 9 1층
(지번) 우동 1386
"
신라농원,"육류,고기",3.9,170,https://place.map.kakao.com/7975461,"
부산 북구 기찰로 7
(지번) 덕천동 348-17
"
거대갈비,갈비,4.1,472,https://place.map.kakao.com/25038747,"
부산 해운대구 달맞이길 22
(지번) 중동 1139-4
"
애돈촌돼지국밥,국밥,4.2,55,https://place.map.kakao.com/27546874,"
부산 연제구 연제로 27 1층
(지번) 연산동 867-51
"
해운대다찌,회,4.3,80,https://place.map.kakao.com/1528294592,"
부산 해운대구 해운대해변로209번길 22 1층
(지번) 우동 693-4
"
토레스,양식,4.7,120,https://place.map.kakao.com/23612520,"
부산 중구 광복로 44 4층
(지번) 창선동1가 42-2
"
부산명물횟집,회,3.3,148,https://place.map.kakao.com/7908577,"
부산 중구 자갈치해안로 55 1-2층
(지번) 남포동4가 38-6
"
범일빈대떡,한식,4.1,125,https://place.map.kakao.com/10389420,"
부산 동구 중앙대로 519 1층
(지번) 범일동 85-2
"
양정기사님식당,기사식당,3.6,50,https://place.map.kakao.com/15378190,"
부산 부산진구 중앙대로970번길 34 1층
(지번) 양정동 271-11
"
라멘야,일본식라면,4.1,367,https://place.map.kakao.com/830551376,"
부산 부산진구 중앙대로680번가길 78 2층
(지번) 부전동 168-402
"
영진돼지국밥 본점,국밥,4.3,878,https://place.map.kakao.com/16867846,"
부산 사하구 하신번영로157번길 39 1층
(지번) 신평동 628-6
"
박해윤통영해물밥상 동래점,"해물,생선",2.6,333,https://place.map.kakao.com/570991947,"
부산 동래구 연안로 38
(지번) 안락동 176-9
"
모던테이블 서면점,디저트카페,4.0,198,https://place.map.kakao.com/27459109,"
부산 부산진구 중앙대로680번길 45-9 3층
(지번) 부전동 220-1
"
식당3선 덕천점,"육류,고기",3.3,159,https://place.map.kakao.com/252046416,"
부산 북구 금곡대로 112
(지번) 덕천동 551-1
"
람아,"호프,요리주점",4.3,292,https://place.map.kakao.com/638356483,"
부산 부산진구 동천로95번길 4
(지번) 부전동 149-14
"
해운대횟집,회,2.6,362,https://place.map.kakao.com/809997749,"
부산 해운대구 달맞이길62번길 38 2층
(지번) 중동 957-2
"
광안리 신라횟집,회,3.7,101,https://place.map.kakao.com/9859956,"
부산 수영구 민락수변로7번길 16 2~4층
(지번) 민락동 181-149
"
신창국밥 본점,국밥,3.3,183,https://place.map.kakao.com/7979137,"
부산 서구 보수대로 53 1층
(지번) 토성동1가 4-1
"
시온의대로,한식,4.5,127,https://place.map.kakao.com/817202648,"
부산 부산진구 서전로38번길 82-8 2층
(지번) 전포동 691-16
"
뽕사시미,회,4.4,1560,https://place.map.kakao.com/27363761,"
부산 중구 충장대로5번길 56 1층
(지번) 중앙동4가 78-6
"
언양불고기 부산집,"불고기,두루치기",3.6,128,https://place.map.kakao.com/7992853,"
부산 수영구 남천바다로 32 1층
(지번) 남천동 3-9
"
대성관,중국요리,4.1,22,https://place.map.kakao.com/19223328,"
부산 연제구 거제천로230번길 98 1층
(지번) 연산동 723-2
"
일촌닭갈비,닭요리,3.7,37,https://place.map.kakao.com/1582783786,"
부산 연제구 신촌로 34 1층
(지번) 연산동 1499-17
"
