Name,Category,Score,Review_Num,Link,Addr
덕수식당,한식,4.7,670,https://place.map.kakao.com/8891473,"
충남 태안군 태안읍 중앙로 133-8 1층
(지번) 태안읍 동문리 339-15
"
한일식당,국밥,3.6,347,https://place.map.kakao.com/9573537,"
충남 예산군 삽교읍 삽교역로 58
(지번) 삽교읍 신가리 20-14
"
장춘닭개장,닭요리,4.2,187,https://place.map.kakao.com/11169052,"
충남 당진시 정안로 50 1층
(지번) 원당동 381
"
엄가네본가시골집,해장국,3.7,284,https://place.map.kakao.com/13311506,"
충남 천안시 서북구 봉정로 168-2
(지번) 성정동 142-6
"
에이스식당,국수,4.8,109,https://place.map.kakao.com/9250070,"
충남 당진시 면천면 면천서문1길 70
(지번) 면천면 성상리 768-1
"
뚜쥬루 돌가마점,"제과,베이커리",4.1,872,https://place.map.kakao.com/23578013,"
충남 천안시 동남구 풍세로 706
(지번) 구룡동 564-27
"
뚜쥬루 성정점,"제과,베이커리",4.1,43,https://place.map.kakao.com/21351241,"
충남 천안시 서북구 백석로 270
(지번) 성정동 695-1
"
낭만고깃집형님 두정본점,"육류,고기",4.1,4,https://place.map.kakao.com/26092532,"
충남 천안시 서북구 노태산로 56 1층
(지번) 두정동 596
"
천진중화요리,중국요리,3.8,34,https://place.map.kakao.com/8581907,"
충남 천안시 동남구 공고담길 43-5
(지번) 신부동 386-125
"
혜주네맛집,"해물,생선",4.7,23,https://place.map.kakao.com/26813057,"
충남 당진시 신평면 맷돌포길 70
(지번) 신평면 부수리 224-1
"
쿠우쿠우 천안불당점,해산물뷔페,3.4,238,https://place.map.kakao.com/2122009233,"
충남 천안시 서북구 검은들3길 46 미래시티빌딩 7층
(지번) 불당동 726
"
산애들애,갈비,3.7,1164,https://place.map.kakao.com/21345355,"
충남 논산시 연산면 황룡재로 64-11 1층
(지번) 연산면 연산리 54-9
"
반월소바,분식,4.3,794,https://place.map.kakao.com/21254192,"
충남 논산시 해월로 132 1층
(지번) 반월동 176-5
"
이봉원의 봉짬뽕,중국요리,2.8,323,https://place.map.kakao.com/5501446,"
충남 천안시 서북구 성정두정로 70 아크로텔 A동 상가 1층 129호
(지번) 두정동 1464
"
한우가좋은날,"육류,고기",3.6,135,https://place.map.kakao.com/251870636,"
충남 아산시 음봉면 탕정면로 507 1층
(지번) 음봉면 덕지리 170
"
덕수식당,한식,4.7,670,https://place.map.kakao.com/8891473,"
충남 태안군 태안읍 중앙로 133-8 1층
(지번) 태안읍 동문리 339-15
"
한일식당,국밥,3.6,347,https://place.map.kakao.com/9573537,"
충남 예산군 삽교읍 삽교역로 58
(지번) 삽교읍 신가리 20-14
"
장춘닭개장,닭요리,4.2,187,https://place.map.kakao.com/11169052,"
충남 당진시 정안로 50 1층
(지번) 원당동 381
"
엄가네본가시골집,해장국,3.7,284,https://place.map.kakao.com/13311506,"
충남 천안시 서북구 봉정로 168-2
(지번) 성정동 142-6
"
에이스식당,국수,4.8,109,https://place.map.kakao.com/9250070,"
충남 당진시 면천면 면천서문1길 70
(지번) 면천면 성상리 768-1
"
뚜쥬루 돌가마점,"제과,베이커리",4.1,872,https://place.map.kakao.com/23578013,"
충남 천안시 동남구 풍세로 706
(지번) 구룡동 564-27
"
뚜쥬루 성정점,"제과,베이커리",4.1,43,https://place.map.kakao.com/21351241,"
충남 천안시 서북구 백석로 270
(지번) 성정동 695-1
"
낭만고깃집형님 두정본점,"육류,고기",4.1,4,https://place.map.kakao.com/26092532,"
충남 천안시 서북구 노태산로 56 1층
(지번) 두정동 596
"
천진중화요리,중국요리,3.8,34,https://place.map.kakao.com/8581907,"
충남 천안시 동남구 공고담길 43-5
(지번) 신부동 386-125
"
혜주네맛집,"해물,생선",4.7,23,https://place.map.kakao.com/26813057,"
충남 당진시 신평면 맷돌포길 70
(지번) 신평면 부수리 224-1
"
쿠우쿠우 천안불당점,해산물뷔페,3.4,238,https://place.map.kakao.com/2122009233,"
충남 천안시 서북구 검은들3길 46 미래시티빌딩 7층
(지번) 불당동 726
"
산애들애,갈비,3.7,1164,https://place.map.kakao.com/21345355,"
충남 논산시 연산면 황룡재로 64-11 1층
(지번) 연산면 연산리 54-9
"
반월소바,분식,4.3,794,https://place.map.kakao.com/21254192,"
충남 논산시 해월로 132 1층
(지번) 반월동 176-5
"
이봉원의 봉짬뽕,중국요리,2.8,323,https://place.map.kakao.com/5501446,"
충남 천안시 서북구 성정두정로 70 아크로텔 A동 상가 1층 129호
(지번) 두정동 1464
"
한우가좋은날,"육류,고기",3.6,135,https://place.map.kakao.com/251870636,"
충남 아산시 음봉면 탕정면로 507 1층
(지번) 음봉면 덕지리 170
"
뚜쥬루 거북이점,"제과,베이커리",3.7,264,https://place.map.kakao.com/27463396,"
충남 천안시 서북구 봉서산로 69-22
(지번) 불당동 763
"
J의꽃다방,일식집,3.0,165,https://place.map.kakao.com/27355986,"
충남 천안시 동남구 먹거리3길 21 1동 1층
(지번) 신부동 379
"
딴뚝통나무집식당,"게,대게",3.8,3762,https://place.map.kakao.com/12344439,"
충남 태안군 안면읍 조운막터길 23-22 1층
(지번) 안면읍 승언리 60-42
"
맥도날드 천안쌍용역DT점,패스트푸드,3.1,33,https://place.map.kakao.com/17944605,"
충남 천안시 서북구 충무로 166
(지번) 쌍용동 394-10
"
뜨끈이집해장국,해장국,3.9,95,https://place.map.kakao.com/21275371,"
충남 예산군 덕산면 덕산온천로 331-6
(지번) 덕산면 신평리 265-8
"
외암파전상전,한식,2.9,239,https://place.map.kakao.com/27594222,"
충남 아산시 송악면 외암로 1030-14 14동 1층
(지번) 송악면 역촌리 84-10
"
내당한우,"육류,고기",4.0,189,https://place.map.kakao.com/11891832,"
충남 홍성군 홍성읍 아문길52번길 6
(지번) 홍성읍 오관리 393-2
"
블렌데렌,카페,4.6,154,https://place.map.kakao.com/853217400,"
충남 천안시 동남구 먹거리8길 5 1, 2층
(지번) 신부동 452-10
"
마곡사서울식당,한식,3.9,200,https://place.map.kakao.com/635769168,"
충남 공주시 사곡면 마곡상가길 13-2
(지번) 사곡면 운암리 729-10
"
카페피어라,디저트카페,3.8,1002,https://place.map.kakao.com/587310721,"
충남 당진시 합덕읍 합덕대덕로 502-24
(지번) 합덕읍 석우리 48-35
"
목화반점,중국요리,3.7,964,https://place.map.kakao.com/7876599,"
충남 아산시 온주길26번길 7-3 1층
(지번) 읍내동 151-3
"
아우어베이커리 천안신불당점,"제과,베이커리",4.1,213,https://place.map.kakao.com/332566550,"
충남 천안시 서북구 불당23로 73-27 1층 140~143호
(지번) 불당동 1491
"
초원콩국수,국수,4.1,128,https://place.map.kakao.com/1024464268,"
충남 당진시 면천면 동문1길 14
(지번) 면천면 성상리 1117
"
서들한우,"육류,고기",4.4,988,https://place.map.kakao.com/1807140510,"
충남 천안시 서북구 두정고5길 34 1층
(지번) 두정동 1978
"
슈엔,중국요리,3.3,242,https://place.map.kakao.com/7963664,"
충남 천안시 서북구 성정중1길 26-2
(지번) 성정동 1133
"
장원막국수,국수,3.4,1435,https://place.map.kakao.com/8063398,"
충남 부여군 부여읍 나루터로62번길 20 1층
(지번) 부여읍 구교리 8-1
"
소플러스 천안점,"육류,고기",4.6,67,https://place.map.kakao.com/33294791,"
충남 천안시 서북구 음봉로 909-11 1동 1층
(지번) 백석동 604-2
"
세종이도삼계탕 본점,삼계탕,3.5,85,https://place.map.kakao.com/1937466785,"
충남 아산시 배방읍 배방로14번길 20-3 1층
(지번) 배방읍 공수리 1508
"
신사우물갈비 불당본점,갈비,4.5,1963,https://place.map.kakao.com/787754999,"
충남 천안시 서북구 불당25로 182 1층
(지번) 불당동 1531
"
고마나루1999,한식,4.2,139,https://place.map.kakao.com/8684887,"
충남 공주시 백미고을길 5-8
(지번) 금성동 183-4
"
한우드소 염치점,"육류,고기",3.6,540,https://place.map.kakao.com/12695164,"
충남 아산시 염치읍 염치로 5 1층
(지번) 염치읍 염성리 215-4
"
산장식당,한식뷔페,3.7,22,https://place.map.kakao.com/1118998821,"
충남 아산시 염치읍 현대로 434 지하 1층
(지번) 염치읍 산양리 116
"
분반차 정다운아지트,베트남음식,4.0,251,https://place.map.kakao.com/27420325,"
충남 공주시 반포면 정광터1길 70 1층
(지번) 반포면 봉곡리 325-24
"
그니식당 평양냉면,냉면,4.2,145,https://place.map.kakao.com/1928169619,"
충남 천안시 서북구 두정중7길 34 1층 101호
(지번) 두정동 1517
"
죽순산장,오리,4.0,175,https://place.map.kakao.com/11155160,"
충남 아산시 음봉면 음봉면로 227
(지번) 음봉면 원남리 262
"
내포해물촌,"해물,생선",3.4,83,https://place.map.kakao.com/26343995,"
충남 홍성군 홍성읍 조양로246번길 80 1층
(지번) 홍성읍 고암리 347-2
"
승지원,"육류,고기",3.1,113,https://place.map.kakao.com/18677878,"
충남 천안시 서북구 노태산로 41
(지번) 백석동 27-3
"
아리랑쌈밥 본점,쌈밥,3.2,9,https://place.map.kakao.com/27367198,"
충남 아산시 충무로8번길 6 1층
(지번) 온천동 86-6
"
풀리,한정식,3.4,46,https://place.map.kakao.com/17603909,"
충남 천안시 서북구 백석로 85-2 1층
(지번) 백석동 148-7
"
오월애쌈,쌈밥,2.6,194,https://place.map.kakao.com/19022451,"
충남 아산시 순천향로 468 주2동 1층
(지번) 초사동 27-1
"
장칼국수,칼국수,4.1,601,https://place.map.kakao.com/24269752,"
충남 천안시 동남구 천안천8길 49 1층
(지번) 신부동 623
"
루치아의 뜰,전통찻집,4.4,198,https://place.map.kakao.com/21626744,"
충남 공주시 웅진로 145-8
(지번) 중동 171-2
"
조리고 직산점,"해물,생선",4.2,97,https://place.map.kakao.com/1378832192,"
충남 천안시 서북구 성거읍 직산로 18-70 1층
(지번) 성거읍 신월리 1
"
베이징 와이시티점,중국요리,3.2,101,https://place.map.kakao.com/558275025,"
충남 아산시 배방읍 광장로 210 4층
(지번) 배방읍 장재리 1767
"
길목식당,한식,4.4,17,https://place.map.kakao.com/15566568,"
충남 아산시 온천대로 1491-2 지하1층
(지번) 온천동 91-8
"
원당풍천장어,장어,4.6,30,https://place.map.kakao.com/1927736058,"
충남 당진시 고실1길 41-10
(지번) 수청동 438-1
"
공주집,닭요리,3.5,200,https://place.map.kakao.com/11032502,"
충남 천안시 서북구 성환읍 송덕2길 113 1층
(지번) 성환읍 송덕리 54-3
"
라루체,카페,4.7,353,https://place.map.kakao.com/1306216300,"
충남 공주시 반포면 계룡대로 1392
(지번) 반포면 학봉리 260-1
"
백향,중국요리,4.3,198,https://place.map.kakao.com/27319942,"
충남 천안시 동남구 화령길 3-52 1층
(지번) 유량동 393-23
"
시골통닭,치킨,3.9,401,https://place.map.kakao.com/21255026,"
충남 부여군 부여읍 중앙로5번길 14-9 1층
(지번) 부여읍 구아리 173
"
홍두깨칼국수,칼국수,3.4,68,https://place.map.kakao.com/18946099,"
충남 아산시 시장남길 19
(지번) 온천동 93-16
"
조리고 천안점,한식,4.3,192,https://place.map.kakao.com/549841262,"
충남 천안시 동남구 차돌고개7길 1 2, 3층
(지번) 다가동 376-4
"
구옹진냉면,냉면,3.7,107,https://place.map.kakao.com/9670552,"
충남 서산시 번화2로 8-2 1층
(지번) 읍내동 141-22
"
청당정원,한식,4.0,305,https://place.map.kakao.com/97977104,"
충남 천안시 동남구 청당2길 131 1층
(지번) 청당동 143
"
꽃게와꽃게집 본점,한식,4.6,1451,https://place.map.kakao.com/27414603,"
충남 당진시 송악읍 신복운로 173-1 1층
(지번) 송악읍 복운리 1642-9
"
인주 필드점,디저트카페,4.3,483,https://place.map.kakao.com/958410011,"
충남 아산시 배방읍 호서로 272
(지번) 배방읍 회룡리 160-1
"
원산면옥,한식,4.1,891,https://place.map.kakao.com/176605451,"
충남 논산시 은진면 매죽헌로 99 1층
(지번) 은진면 연서리 491
"
부자상황삼계탕,삼계탕,4.5,8,https://place.map.kakao.com/26315881,"
충남 천안시 서북구 동서대로 17-40
(지번) 백석동 107-1
"
하루,"제과,베이커리",4.8,70,https://place.map.kakao.com/20796261,"
충남 아산시 용화로48번길 4-10 1층
(지번) 온천동 3094
"
너구리의피난처,한식,3.3,270,https://place.map.kakao.com/8251886,"
충남 금산군 금성면 적우실길 28
(지번) 금성면 마수리 30-1
"
선유원,갈비,2.9,239,https://place.map.kakao.com/9173922,"
충남 천안시 동남구 북면 동평3길 30 1층
(지번) 북면 연춘리 239-3
"
육품,고기뷔페,4.9,96,https://place.map.kakao.com/26775253,"
충남 아산시 음봉면 월암로 86
(지번) 음봉면 월랑리 197-3
"
우렁이박사,한식,4.0,761,https://place.map.kakao.com/8031120,"
충남 당진시 신평면 샛터로 7-1 1층
(지번) 신평면 도성리 499-11
"
산수림,한정식,3.1,10,https://place.map.kakao.com/9112960,"
충남 보령시 옥마역길 85
(지번) 명천동 14-6
"
삿뽀로 천안점,일식집,3.8,48,https://place.map.kakao.com/12515606,"
충남 천안시 서북구 원두정1길 7 1-2층
(지번) 두정동 807
"
중식이맛있는집 메이탄 천안점,중국요리,3.6,157,https://place.map.kakao.com/24823059,"
충남 천안시 서북구 다가말3길 2 2층
(지번) 쌍용동 542-5
"
스시린 두정점,"초밥,롤",4.4,236,https://place.map.kakao.com/584489111,"
충남 천안시 서북구 원두정8길 6 1층
(지번) 두정동 899
"
제이스맨션,카페,4.0,181,https://place.map.kakao.com/595668871,"
충남 천안시 서북구 불당28길 24 1층
(지번) 불당동 1604
"
태조석갈비,갈비,3.0,188,https://place.map.kakao.com/1135726991,"
충남 천안시 동남구 태조산길 103 1층
(지번) 유량동 406-2
"
노을연탄구이 천안본점,"육류,고기",4.7,79,https://place.map.kakao.com/24217439,"
충남 천안시 서북구 미라9길 10 1층
(지번) 쌍용동 1099
"
인주 필드점,디저트카페,4.3,483,https://place.map.kakao.com/958410011,"
충남 아산시 배방읍 호서로 272
(지번) 배방읍 회룡리 160-1
"
원산면옥,한식,4.1,891,https://place.map.kakao.com/176605451,"
충남 논산시 은진면 매죽헌로 99 1층
(지번) 은진면 연서리 491
"
부자상황삼계탕,삼계탕,4.5,8,https://place.map.kakao.com/26315881,"
충남 천안시 서북구 동서대로 17-40
(지번) 백석동 107-1
"
하루,"제과,베이커리",4.8,70,https://place.map.kakao.com/20796261,"
충남 아산시 용화로48번길 4-10 1층
(지번) 온천동 3094
"
너구리의피난처,한식,3.3,270,https://place.map.kakao.com/8251886,"
충남 금산군 금성면 적우실길 28
(지번) 금성면 마수리 30-1
"
선유원,갈비,2.9,239,https://place.map.kakao.com/9173922,"
충남 천안시 동남구 북면 동평3길 30 1층
(지번) 북면 연춘리 239-3
"
육품,고기뷔페,4.9,96,https://place.map.kakao.com/26775253,"
충남 아산시 음봉면 월암로 86
(지번) 음봉면 월랑리 197-3
"
우렁이박사,한식,4.0,761,https://place.map.kakao.com/8031120,"
충남 당진시 신평면 샛터로 7-1 1층
(지번) 신평면 도성리 499-11
"
산수림,한정식,3.1,10,https://place.map.kakao.com/9112960,"
충남 보령시 옥마역길 85
(지번) 명천동 14-6
"
삿뽀로 천안점,일식집,3.8,48,https://place.map.kakao.com/12515606,"
충남 천안시 서북구 원두정1길 7 1-2층
(지번) 두정동 807
"
중식이맛있는집 메이탄 천안점,중국요리,3.6,157,https://place.map.kakao.com/24823059,"
충남 천안시 서북구 다가말3길 2 2층
(지번) 쌍용동 542-5
"
스시린 두정점,"초밥,롤",4.4,236,https://place.map.kakao.com/584489111,"
충남 천안시 서북구 원두정8길 6 1층
(지번) 두정동 899
"
제이스맨션,카페,4.0,181,https://place.map.kakao.com/595668871,"
충남 천안시 서북구 불당28길 24 1층
(지번) 불당동 1604
"
태조석갈비,갈비,3.0,188,https://place.map.kakao.com/1135726991,"
충남 천안시 동남구 태조산길 103 1층
(지번) 유량동 406-2
"
