Name,Category,Score,Review_Num,Link,Addr
울진참가자미회,회,2.8,157,https://place.map.kakao.com/17819326,"
대구 수성구 들안로 297 1층
(지번) 수성동2가 31
"
우야지막창 동대구역점,"곱창,막창",4.2,821,https://place.map.kakao.com/1942730766,"
대구 동구 동부로30길 34 1층
(지번) 신천동 334-14
"
현짬뽕,중국요리,3.5,745,https://place.map.kakao.com/26629013,"
대구 남구 대봉로 170 1층
(지번) 이천동 306-27
"
서민갈비,갈비,3.3,345,https://place.map.kakao.com/21318578,"
대구 수성구 들안로 8-5
(지번) 두산동 172-12
"
테라스스시뷔페,해산물뷔페,3.3,242,https://place.map.kakao.com/1107259879,"
대구 달서구 와룡로 169 대우월드마크웨스트앤드 103동 상가 2층
(지번) 감삼동 461
"
태능집,"불고기,두루치기",3.7,375,https://place.map.kakao.com/11834053,"
대구 중구 달성로22길 86 1층
(지번) 수창동 91-7
"
도마29,일식집,4.1,824,https://place.map.kakao.com/91896634,"
대구 중구 동성로1길 46-2
(지번) 봉산동 35-62
"
정원한우갈비 본점,갈비,3.9,61,https://place.map.kakao.com/22360705,"
대구 수성구 범어천로 151-28
(지번) 수성동4가 985-68
"
이가네더덕밥 대구팔공산점,한정식,3.6,469,https://place.map.kakao.com/15711350,"
대구 북구 이곡길 35-41
(지번) 서변동 185-1
"
제니스뷔페 달서점,뷔페,4.3,149,https://place.map.kakao.com/24449538,"
대구 달서구 와룡로 143 우방드림시티상가 3층
(지번) 감삼동 521
"
오퐁드부아,커피전문점,3.6,564,https://place.map.kakao.com/1853358782,"
대구 달성군 가창면 주리2길 104
(지번) 가창면 주리 520
"
모얼동,양식,4.2,475,https://place.map.kakao.com/1025132986,"
대구 중구 교동4길 44 1층
(지번) 완전동 5-33
"
슬로우터틀 동성로점,디저트카페,4.1,465,https://place.map.kakao.com/479341273,"
대구 중구 동성로2길 18-14 1층 카페 슬로우터틀
(지번) 봉산동 23-1
"
주토피아,이탈리안,3.8,228,https://place.map.kakao.com/1431812041,"
대구 중구 동덕로30길 141 1층
(지번) 동인동4가 535-3
"
아트리움,"스테이크,립",4.5,256,https://place.map.kakao.com/9234910,"
대구 수성구 국채보상로186길 151
(지번) 범어동 143-19
"
울릉도 본점,"매운탕,해물탕",3.5,76,https://place.map.kakao.com/19335003,"
대구 수성구 청수로 96 1층
(지번) 두산동 9
"
신라식당,한식,3.8,1072,https://place.map.kakao.com/15380037,"
대구 중구 중앙대로 406-10 1층
(지번) 남일동 90
"
전주행,한식,2.8,118,https://place.map.kakao.com/27587415,"
대구 중구 동성로 19-13 1층
(지번) 사일동 71
"
나지무,"육류,고기",4.4,301,https://place.map.kakao.com/27459601,"
대구 중구 대봉로 194-5 1층
(지번) 대봉동 179-16
"
조조칼국수 범어본점,칼국수,3.9,158,https://place.map.kakao.com/1305530650,"
대구 수성구 국채보상로 912 1층
(지번) 범어동 128-25
"
지환이네왕족발 본점,"족발,보쌈",4.4,537,https://place.map.kakao.com/16759663,"
대구 남구 대명복개로 96 1층
(지번) 대명동 1595-3
"
스타벅스 대구종로고택점,커피전문점,4.4,1260,https://place.map.kakao.com/946950605,"
대구 중구 중앙대로77길 22
(지번) 종로2가 58
"
정이의 더큰청진동해장국,해장국,3.1,98,https://place.map.kakao.com/27501315,"
대구 동구 동부로22길 10 세진빌딩 1층
(지번) 신천동 286-1
"
더뷔페앳인터불고,뷔페,3.4,765,https://place.map.kakao.com/1485240475,"
대구 수성구 팔현길 212 바르미호텔인터불고 대구 2층
(지번) 만촌동 57-23
"
앞산주택,이탈리안,3.7,470,https://place.map.kakao.com/782774410,"
대구 남구 현충로1길 16 1-2층
(지번) 대명동 526-32
"
옛맛집,한식,4.3,162,https://place.map.kakao.com/9312602,"
대구 달서구 구마로14길 111
(지번) 본동 927-2
"
종로옹심이메밀칼국수&막국수,칼국수,4.6,8,https://place.map.kakao.com/923346116,"
대구 중구 진골목길 2 1층
(지번) 종로2가 91-4
"
바르미스시뷔페 두산점,"초밥,롤",3.5,124,https://place.map.kakao.com/21337085,"
대구 수성구 무학로 78 1층
(지번) 두산동 523-1
"
신송자신마산식당 본점,국밥,3.8,380,https://place.map.kakao.com/16267168,"
대구 남구 현충로 214 1층
(지번) 대명동 1922-7
"
중앙떡볶이,떡볶이,2.6,757,https://place.map.kakao.com/10787627,"
대구 중구 동성로2길 81 1층
(지번) 동성로2가 70-2
"
울릉도 본점,"매운탕,해물탕",3.5,76,https://place.map.kakao.com/19335003,"
대구 수성구 청수로 96 1층
(지번) 두산동 9
"
신라식당,한식,3.8,1072,https://place.map.kakao.com/15380037,"
대구 중구 중앙대로 406-10 1층
(지번) 남일동 90
"
전주행,한식,2.8,118,https://place.map.kakao.com/27587415,"
대구 중구 동성로 19-13 1층
(지번) 사일동 71
"
나지무,"육류,고기",4.4,301,https://place.map.kakao.com/27459601,"
대구 중구 대봉로 194-5 1층
(지번) 대봉동 179-16
"
조조칼국수 범어본점,칼국수,3.9,158,https://place.map.kakao.com/1305530650,"
대구 수성구 국채보상로 912 1층
(지번) 범어동 128-25
"
지환이네왕족발 본점,"족발,보쌈",4.4,537,https://place.map.kakao.com/16759663,"
대구 남구 대명복개로 96 1층
(지번) 대명동 1595-3
"
스타벅스 대구종로고택점,커피전문점,4.4,1260,https://place.map.kakao.com/946950605,"
대구 중구 중앙대로77길 22
(지번) 종로2가 58
"
정이의 더큰청진동해장국,해장국,3.1,98,https://place.map.kakao.com/27501315,"
대구 동구 동부로22길 10 세진빌딩 1층
(지번) 신천동 286-1
"
더뷔페앳인터불고,뷔페,3.4,765,https://place.map.kakao.com/1485240475,"
대구 수성구 팔현길 212 바르미호텔인터불고 대구 2층
(지번) 만촌동 57-23
"
앞산주택,이탈리안,3.7,470,https://place.map.kakao.com/782774410,"
대구 남구 현충로1길 16 1-2층
(지번) 대명동 526-32
"
옛맛집,한식,4.3,162,https://place.map.kakao.com/9312602,"
대구 달서구 구마로14길 111
(지번) 본동 927-2
"
종로옹심이메밀칼국수&막국수,칼국수,4.6,8,https://place.map.kakao.com/923346116,"
대구 중구 진골목길 2 1층
(지번) 종로2가 91-4
"
바르미스시뷔페 두산점,"초밥,롤",3.5,124,https://place.map.kakao.com/21337085,"
대구 수성구 무학로 78 1층
(지번) 두산동 523-1
"
신송자신마산식당 본점,국밥,3.8,380,https://place.map.kakao.com/16267168,"
대구 남구 현충로 214 1층
(지번) 대명동 1922-7
"
중앙떡볶이,떡볶이,2.6,757,https://place.map.kakao.com/10787627,"
대구 중구 동성로2길 81 1층
(지번) 동성로2가 70-2
"
숯불촌석기시대 본점,"육류,고기",4.8,388,https://place.map.kakao.com/16789299,"
대구 남구 두류공원로 25 1층
(지번) 대명동 1642-41
"
인더매스 삼덕점,카페,4.7,622,https://place.map.kakao.com/2010193979,"
대구 중구 공평로8길 29
(지번) 삼덕동2가 28-1
"
부산해물철판구이,"해물,생선",4.2,55,https://place.map.kakao.com/10464629,"
대구 중구 동성로 4-6
(지번) 동성로3가 91-11
"
아리츠,카페,4.2,450,https://place.map.kakao.com/227030809,"
대구 중구 남성로 47 2층
(지번) 남성로 89-4
"
기똥차게,"게,대게",4.8,84,https://place.map.kakao.com/1765023214,"
대구 수성구 수성로76길 32 1층
(지번) 수성동2가 122-1
"
끝소 본점,"육류,고기",3.3,47,https://place.map.kakao.com/1339351759,"
대구 북구 대학로23길 8-1 1층
(지번) 산격동 1308-6
"
우즈베이커리,디저트카페,3.7,59,https://place.map.kakao.com/27357841,"
대구 동구 송라로10길 2
(지번) 신천동 182-1
"
벽강물회,회,3.1,90,https://place.map.kakao.com/9041043,"
대구 북구 침산남로 62
(지번) 노원동1가 8-1
"
현풍닭칼국수 수성동점,칼국수,2.6,133,https://place.map.kakao.com/1298394697,"
대구 수성구 달구벌대로 2338 1층
(지번) 수성동3가 253-1
"
조조칼국수 앞산본점,칼국수,3.8,116,https://place.map.kakao.com/167701452,"
대구 남구 현충로15길 13-1 1층
(지번) 대명동 682-3
"
동림식당,국수,3.1,302,https://place.map.kakao.com/11096104,"
대구 동구 파계로116길 49 1층
(지번) 중대동 797
"
수봉반점,중국요리,4.3,772,https://place.map.kakao.com/9870379,"
대구 북구 대현남로2길 60 1층
(지번) 대현동 321-70
"
련,퓨전일식,4.1,11,https://place.map.kakao.com/7859018,"
대구 북구 동천로 128-15 2층
(지번) 동천동 898-4
"
