Name,Category,Score,Review_Num,Link,Addr
성심당 대전역점,"제과,베이커리",4.1,2098,https://place.map.kakao.com/21537026,"
대전 동구 중앙로 215 2층
(지번) 정동 1-1
"
오씨칼국수,칼국수,4.0,1732,https://place.map.kakao.com/16302660,"
대전 동구 옛신탄진로 13 1층
(지번) 삼성동 304-36
"
정식당,닭요리,4.0,146,https://place.map.kakao.com/9937270,"
대전 중구 중앙로130번길 37-13 1층
(지번) 대흥동 216-7
"
불타는쪽갈비,갈비,4.6,2305,https://place.map.kakao.com/19738455,"
대전 서구 둔지로 34 갤러리타워 1층 110호
(지번) 둔산동 982
"
성심당 본점,"제과,베이커리",4.6,5941,https://place.map.kakao.com/17733090,"
대전 중구 대종로480번길 15 1-2층
(지번) 은행동 145-1
"
워낭명가 유성본점,"육류,고기",3.6,140,https://place.map.kakao.com/2111618635,"
대전 유성구 계룡로105번길 10 1-2층
(지번) 봉명동 550-8
"
월산본가,갈비,3.3,315,https://place.map.kakao.com/8038484,"
대전 중구 대종로 455 1층
(지번) 대흥동 181-10
"
오씨칼국수,칼국수,3.3,585,https://place.map.kakao.com/8453295,"
대전 동구 중앙로204번길 75 1층
(지번) 원동 41-3
"
뼈구이 농민뜨끈이,"육류,고기",3.8,285,https://place.map.kakao.com/1405265808,"
대전 중구 대흥로 161 1층
(지번) 대흥동 119-3
"
현암뚝방구이,"육류,고기",2.8,314,https://place.map.kakao.com/12265528,"
대전 동구 대전천북로 114 1층
(지번) 삼성동 338-12
"
불이아 대전봉명점,양꼬치,4.1,111,https://place.map.kakao.com/902809637,"
대전 유성구 온천북로13번길 40 채운타운 1층
(지번) 봉명동 619-1
"
성심당 DCC점,"제과,베이커리",4.4,3545,https://place.map.kakao.com/1148545656,"
대전 유성구 엑스포로 107 1층
(지번) 도룡동 4-19
"
손이가어죽칼국수,칼국수,4.3,292,https://place.map.kakao.com/23346501,"
대전 중구 중앙로121번길 48
(지번) 선화동 20
"
갑부본가 성남점,"육류,고기",3.6,105,https://place.map.kakao.com/1248290386,"
대전 동구 동서대로 1614 1층
(지번) 성남동 506-4
"
공주얼큰이칼국수쭈꾸미,칼국수,3.2,465,https://place.map.kakao.com/8658620,"
대전 중구 중교로73번길 33 1층
(지번) 은행동 149-2
"
메밀고개 시골막국수 직영점,국수,4.2,358,https://place.map.kakao.com/1703079893,"
대전 동구 판교3길 3 1층
(지번) 판암동 498-14
"
원조태평소국밥 둔산점,국밥,3.8,173,https://place.map.kakao.com/2069365489,"
대전 서구 둔산로31번길 52 1층
(지번) 둔산동 1005
"
만나 대흥본점,샤브샤브,4.4,489,https://place.map.kakao.com/8331536,"
대전 중구 대흥로 138 1층
(지번) 대흥동 442
"
원조태평소국밥 본관,국밥,4.3,259,https://place.map.kakao.com/200882001,"
대전 유성구 온천동로65번길 50 1층
(지번) 봉명동 682-2
"
광천식당,"불고기,두루치기",3.0,1846,https://place.map.kakao.com/8209640,"
대전 중구 대종로505번길 29 1-2층
(지번) 선화동 52-2
"
진로집,"불고기,두루치기",3.1,1277,https://place.map.kakao.com/12468740,"
대전 중구 중교로 45-5
(지번) 대흥동 314-1
"
누리손만두,분식,4.7,75,https://place.map.kakao.com/19489147,"
대전 중구 중앙로121번길 36 1층
(지번) 선화동 23-2
"
한영식당,닭요리,3.7,349,https://place.map.kakao.com/9589060,"
대전 중구 계룡로874번길 6 1층
(지번) 오류동 149-25
"
시민칼국수,칼국수,3.7,844,https://place.map.kakao.com/1784443072,"
대전 중구 대흥로10번길 5 1층
(지번) 문화동 1-166
"
