Name,Category,Score,Review_Num,Link,Addr
용바위식당,"해물,생선",3.9,234,https://place.map.kakao.com/8024271,"
강원특별자치도 인제군 북면 진부령로 107 1층
(지번) 북면 용대리 71-2
"
카페감자밭 본점,카페,3.8,238,https://place.map.kakao.com/169361798,"
강원특별자치도 춘천시 신북읍 신샘밭로 674 1-2층
(지번) 신북읍 천전리 99-13
"
테라로사 커피공장 강릉본점,커피전문점,3.5,464,https://place.map.kakao.com/21344157,"
강원특별자치도 강릉시 구정면 현천길 7 1-2층
(지번) 구정면 어단리 산 314
"
봉포머구리집,회,2.8,3016,https://place.map.kakao.com/25737281,"
강원특별자치도 속초시 영랑해안길 223
(지번) 영랑동 148-30
"
금수강산막국수,국수,4.3,527,https://place.map.kakao.com/14572546,"
강원특별자치도 홍천군 서면 한치골길 785 1층
(지번) 서면 팔봉리 1302-101
"
강릉꼬막비빔밥 풍호맛뜨락,한식,4.4,2287,https://place.map.kakao.com/125345615,"
강원특별자치도 강릉시 임영로 10 1층
(지번) 노암동 824-10
"
통나무집닭갈비 본점,닭요리,3.8,827,https://place.map.kakao.com/8107636,"
강원특별자치도 춘천시 신북읍 신샘밭로 763
(지번) 신북읍 천전리 38-26
"
보릿고개 본점,한식,4.4,349,https://place.map.kakao.com/11819788,"
강원특별자치도 원주시 혁신로 19 H타워 1층 107~111호
(지번) 반곡동 1860-5
"
속초항아리물회,회,3.7,2609,https://place.map.kakao.com/24893945,"
강원특별자치도 속초시 해오름로188번길 11 1-3층
(지번) 조양동 1442-11
"
해성집,회,3.9,104,https://place.map.kakao.com/8606955,"
강원특별자치도 강릉시 금성로 21 중앙시장빌딩 2층 29호
(지번) 성남동 50
"
학곡리막국수닭갈비,닭요리,3.7,968,https://place.map.kakao.com/23373114,"
강원특별자치도 춘천시 공지로 29 1-2층
(지번) 석사동 116-32
"
향교막국수,국수,3.5,98,https://place.map.kakao.com/9599489,"
강원특별자치도 원주시 명륜로 10
(지번) 명륜동 242-24
"
등대까페,카페,4.3,72,https://place.map.kakao.com/21350843,"
강원특별자치도 동해시 등대오름길 34-5
(지번) 묵호진동 2-221
"
팔팔순대국,순대,4.6,255,https://place.map.kakao.com/9525859,"
강원특별자치도 속초시 중앙로129번길 35-13 1층
(지번) 금호동 492-27
"
글라스하우스,카페,3.1,139,https://place.map.kakao.com/822466099,"
강원특별자치도 고성군 토성면 천진해변길 43 1-2층
(지번) 토성면 천진리 111
"
바다정원,커피전문점,3.6,1389,https://place.map.kakao.com/26917595,"
강원특별자치도 고성군 토성면 버리깨길 23
(지번) 토성면 용촌리 75-36
"
연곡꾹저구탕,"매운탕,해물탕",4.4,1467,https://place.map.kakao.com/10663612,"
강원특별자치도 강릉시 연곡면 진고개로 2679 1층
(지번) 연곡면 방내리 69-4
"
금천칼국수,칼국수,3.8,511,https://place.map.kakao.com/10215787,"
강원특별자치도 강릉시 강릉대로 445-1 1층
(지번) 포남동 1072-7
"
청초수물회,회,3.5,5085,https://place.map.kakao.com/26602585,"
강원특별자치도 속초시 엑스포로 12-36
(지번) 조양동 1555-1
"
대청마루,두부전문점,4.3,876,https://place.map.kakao.com/12277295,"
강원특별자치도 속초시 관광로 430
(지번) 노학동 980-52
"
유포리막국수,국수,4.0,417,https://place.map.kakao.com/9947306,"
강원특별자치도 춘천시 신북읍 맥국2길 123
(지번) 신북읍 유포리 62-2
"
우미닭갈비 본점,닭요리,3.2,264,https://place.map.kakao.com/8021178,"
강원특별자치도 춘천시 금강로62번길 4
(지번) 조양동 50-4
"
원조강릉교동반점 본점,중국요리,3.2,734,https://place.map.kakao.com/8773810,"
강원특별자치도 강릉시 강릉대로 205 1층
(지번) 교동 162-126
"
돈우마을,갈비,3.9,247,https://place.map.kakao.com/24069103,"
강원특별자치도 속초시 청초호반로 56
(지번) 조양동 1552-6
"
봉평메밀미가연,국수,4.0,1752,https://place.map.kakao.com/7881392,"
강원특별자치도 평창군 봉평면 기풍로 108 1층
(지번) 봉평면 창동리 268-7
"
테라로사 경포호수점,커피전문점,3.6,956,https://place.map.kakao.com/653849031,"
강원특별자치도 강릉시 난설헌로 145
(지번) 포남동 933
"
덕곡막국수,국수,4.1,65,https://place.map.kakao.com/11247951,"
강원특별자치도 원주시 삼광2길 11-11 1층
(지번) 봉산동 1193-1
"
신토불이감자옹심이,한식,4.6,252,https://place.map.kakao.com/1988084034,"
강원특별자치도 속초시 중앙로147번길 16 속초중앙시장 종합중앙시장상가 1층 55호
(지번) 중앙동 471-4
"
빵공장라뜰리에김가 원주점,"제과,베이커리",3.7,152,https://place.map.kakao.com/985236672,"
강원특별자치도 원주시 행구로 314
(지번) 행구동 1347-18
"
양지말화로구이,"육류,고기",3.2,897,https://place.map.kakao.com/7992897,"
강원특별자치도 홍천군 홍천읍 양지말길 17-4
(지번) 홍천읍 하오안리 1014
"
묵호물회 본점,회,3.3,56,https://place.map.kakao.com/11821534,"
강원특별자치도 동해시 샘실3길 24 1층
(지번) 천곡동 1053-1
"
장안회집,회,3.3,429,https://place.map.kakao.com/10727290,"
강원특별자치도 강릉시 사천면 진리항구길 51 1층
(지번) 사천면 사천진리 86-64
"
봄날은간다,한식,4.1,307,https://place.map.kakao.com/20226993,"
강원특별자치도 양양군 양양읍 남문5길 11-14
(지번) 양양읍 남문리 51-3
"
88생선구이,"해물,생선",3.0,1596,https://place.map.kakao.com/25622898,"
강원특별자치도 속초시 중앙부두길 71 1층
(지번) 중앙동 468-55
"
동루골막국수,국수,4.2,382,https://place.map.kakao.com/8255421,"
강원특별자치도 고성군 토성면 성대로 188
(지번) 토성면 성대리 526-1
"
엄지네포장마차 본점,실내포장마차,4.1,1817,https://place.map.kakao.com/1280103068,"
강원특별자치도 강릉시 경강로2255번길 21 엄지빌딩 1층
(지번) 포남동 1155
"
순두부젤라또 1호점,아이스크림,3.4,1015,https://place.map.kakao.com/3222543,"
강원특별자치도 강릉시 초당순두부길 95-5 1층
(지번) 초당동 354-4
"
백촌막국수,국수,3.8,1496,https://place.map.kakao.com/7886148,"
강원특별자치도 고성군 토성면 백촌1길 10 1층
(지번) 토성면 백촌리 162
"
