Name,Category,Score,Review_Num,Link,Addr
다온,한정식,3.4,123,https://place.map.kakao.com/2131086484,"
광주 북구 신용산길 84-18 1층 101호
(지번) 신용동 636-11
"
무등콩물국수팥죽,한식,4.1,412,https://place.map.kakao.com/23406384,"
광주 북구 면앙로155번길 6 1층
(지번) 두암동 570-9
"
하해가,장어,3.4,246,https://place.map.kakao.com/1988981487,"
광주 서구 내방로 37
(지번) 치평동 1002-15
"
박소영왕만두왕찐빵,분식,4.3,127,https://place.map.kakao.com/27608887,"
광주 북구 대자로 64 1층 103호
(지번) 운암동 443-3
"
상무초밥 상무점,"초밥,롤",4.2,2125,https://place.map.kakao.com/1579058409,"
광주 서구 운천로 253 1층 106호
(지번) 치평동 1223
"
취홍,중국요리,3.7,129,https://place.map.kakao.com/8117248,"
광주 광산구 월계로 223-11 2층
(지번) 쌍암동 694-68
"
송원식육식당,"육류,고기",3.9,149,https://place.map.kakao.com/9868850,"
광주 광산구 평동로800번길 13 1층
(지번) 옥동 163-2
"
산일능이버섯백숙 상무점,오리,3.1,40,https://place.map.kakao.com/23981531,"
광주 서구 마륵복개로 74 1,2층
(지번) 마륵동 165-9
"
황솔촌 상무점,한식,4.2,197,https://place.map.kakao.com/23736803,"
광주 서구 운천로 143 1층
(지번) 쌍촌동 885-33
"
월드밥,한식뷔페,4.5,162,https://place.map.kakao.com/21363710,"
광주 서구 군분2로 54 금호월드 지하1층 15~19호,25~29AB호
(지번) 화정동 12-17
"
진식당 본점,"해물,생선",3.3,88,https://place.map.kakao.com/27270629,"
광주 북구 중흥로 105 1층
(지번) 신안동 117-6
"
원두막,한식,4.2,106,https://place.map.kakao.com/12159218,"
광주 서구 상무중앙로 6-28
(지번) 치평동 264-3
"
스타벅스 광주상무대교점,커피전문점,4.3,35,https://place.map.kakao.com/22547064,"
광주 서구 상무중앙로 90 눈높이 상무센터 1층
(지번) 치평동 1216
"
등촌 전대매곡점,샤브샤브,2.7,137,https://place.map.kakao.com/12400529,"
광주 북구 매곡로 102 1층
(지번) 매곡동 178-5
"
쌍촌명가낙지한마당,"해물,생선",2.7,38,https://place.map.kakao.com/15248747,"
광주 서구 월드컵4강로181번길 45 1,2층
(지번) 쌍촌동 956-14
"
어느멋진날,양식,3.0,379,https://place.map.kakao.com/26432436,"
광주 북구 하서로483번길 2 5층
(지번) 본촌동 670
"
쭉심 상무점,한식,4.2,89,https://place.map.kakao.com/1525538336,"
광주 서구 상무중앙로72번길 13 1층
(지번) 치평동 1233-5
"
보광옥,갈비,4.0,83,https://place.map.kakao.com/10384055,"
광주 동구 충장로46번길 16
(지번) 충장로5가 69-1
"
돈통구이,"육류,고기",4.6,95,https://place.map.kakao.com/2101941856,"
광주 서구 운천로204번길 8
(지번) 쌍촌동 972-5
"
백두산,양꼬치,4.4,328,https://place.map.kakao.com/20493574,"
광주 서구 내방로209번길 10 1층
(지번) 쌍촌동 1351-7
"
해남성내식당,한식,4.3,117,https://place.map.kakao.com/1185743447,"
광주 남구 봉선로 21 2층
(지번) 봉선동 1098-3
"
열도지,중국요리,4.2,367,https://place.map.kakao.com/451615583,"
광주 동구 제봉로82번길 17
(지번) 서석동 41-3
"
