Name,Category,Score,Review_Num,Link,Addr
향화정,한식,4.0,4294,https://place.map.kakao.com/632306474,"
경북 경주시 사정로57번길 17 1층
(지번) 사정동 7
"
한재참미나리식육식당,"육류,고기",3.9,281,https://place.map.kakao.com/23067831,"
경북 청도군 청도읍 한재로 225-7 1층
(지번) 청도읍 음지리 31
"
싱글벙글복어 본점,복어,3.1,129,https://place.map.kakao.com/11311835,"
경북 구미시 역전로 10 1층
(지번) 원평동 126-7
"
복어잡는사람들 본점,복어,3.8,73,https://place.map.kakao.com/24120618,"
경북 경산시 대학로 77
(지번) 중방동 818-133
"
맷돌순두부,두부전문점,3.2,1092,https://place.map.kakao.com/10341223,"
경북 경주시 북군길 7 1층
(지번) 북군동 229-1
"
주왕산가든,"육류,고기",3.7,182,https://place.map.kakao.com/9428591,"
경북 청송군 주왕산면 주왕산로 508-9 2층
(지번) 주왕산면 하의리 755-1
"
팔공산부촌가든,닭요리,4.5,642,https://place.map.kakao.com/10467918,"
경북 칠곡군 동명면 한티로 790-8 1층
(지번) 동명면 득명리 400-6
"
소옥,한식,3.7,1579,https://place.map.kakao.com/1358676395,"
경북 경주시 포석로1050번길 29 1층
(지번) 황남동 224-7
"
삼육식당,닭요리,3.6,107,https://place.map.kakao.com/9820771,"
경북 포항시 남구 오천읍 문덕로43번길 6-4 1층
(지번) 오천읍 문덕리 347-3
"
헤이안,디저트카페,3.8,681,https://place.map.kakao.com/464239111,"
경북 포항시 북구 해안로 219 1,2층
(지번) 두호동 156
"
축산랜드,한식,3.8,34,https://place.map.kakao.com/19934664,"
경북 포항시 북구 장량로262번길 23
(지번) 양덕동 2175
"
대게궁,"게,대게",4.2,578,https://place.map.kakao.com/12486988,"
경북 영덕군 강구면 강구대게길 29
(지번) 강구면 강구리 471
"
버던트,카페,4.1,910,https://place.map.kakao.com/43808096,"
경북 청도군 이서면 연지로 330 1층
(지번) 이서면 양원리 455-2
"
교촌치킨 구미송정점,치킨,3.1,87,https://place.map.kakao.com/17609920,"
경북 구미시 박정희로 511 우방2차상가 206동 1층 2호
(지번) 송정동 38-5
"
김태주선산곱창 구미본점,"곱창,막창",3.7,486,https://place.map.kakao.com/9172399,"
경북 구미시 송원서로 77 1층
(지번) 원평동 1037-68
"
동해회대게 수협1호,"게,대게",3.4,859,https://place.map.kakao.com/27420189,"
경북 울진군 죽변면 죽변항길 239
(지번) 죽변면 죽변리 36-88
"
대화식당,한식,4.2,370,https://place.map.kakao.com/13720725,"
경북 포항시 북구 죽도시장11길 6-7 죽도시장 1층
(지번) 죽도동 2-219
"
황남빵,"제과,베이커리",4.1,674,https://place.map.kakao.com/26519092,"
경북 경주시 태종로 783 황남빵
(지번) 황오동 347-1
"
식탐,양식,3.5,78,https://place.map.kakao.com/239111675,"
경북 포항시 남구 형산강북로 125
(지번) 효자동 606-5
"
박용자경주명동쫄면 본점,국수,3.7,350,https://place.map.kakao.com/21474812,"
경북 경주시 계림로93번길 3
(지번) 노동동 80-8
"
