Name,Category,Score,Review_Num,Link,Addr
우판등심 인천점,"육류,고기",3.5,482,https://place.map.kakao.com/23740989,"
인천 연수구 청량로 61
(지번) 동춘동 803-5
"
송도갈매기 본점,"육류,고기",4.0,186,https://place.map.kakao.com/16860063,"
인천 연수구 능허대로151번길 25 1~2층
(지번) 옥련동 499
"
산이내린밥상 곤드레밥집 구월점,한식,3.8,102,https://place.map.kakao.com/26606548,"
인천 남동구 인주대로626번길 6
(지번) 구월동 1148-1
"
청실홍실 인천주안본점,국수,3.9,241,https://place.map.kakao.com/16075359,"
인천 미추홀구 미추홀대로 697
(지번) 주안동 190-8
"
송도갈매기 주안점,"육류,고기",3.6,57,https://place.map.kakao.com/14745375,"
인천 미추홀구 구월로 23 코코스빌딩
(지번) 주안동 1585-1
"
풍천민물장어 이억집 박촌점,장어,3.4,168,https://place.map.kakao.com/1849142801,"
인천 계양구 장제로 1070 1층
(지번) 박촌동 3-2
"
로니로티 부평점,이탈리안,4.1,959,https://place.map.kakao.com/1482498650,"
인천 부평구 시장로 19 로터스프라자 2층
(지번) 부평동 193-18
"
영종섬,회,3.7,156,https://place.map.kakao.com/1286909469,"
인천 중구 은하수로 1 1-2층 205~206호
(지번) 중산동 1956-1
"
뻘다방,커피전문점,4.0,1196,https://place.map.kakao.com/1849914946,"
인천 옹진군 영흥면 선재로 55
(지번) 영흥면 선재리 148-2
"
경복궁개성손만두 학익점,분식,4.4,99,https://place.map.kakao.com/23481835,"
인천 미추홀구 매소홀로 435 1층
(지번) 학익동 660-19
"
송도갈비 본점,갈비,2.9,343,https://place.map.kakao.com/23605403,"
인천 연수구 능허대로 16
(지번) 옥련동 194-46
"
중화루,중국요리,3.6,428,https://place.map.kakao.com/8081757,"
인천 중구 홍예문로 12 1-3층
(지번) 중앙동4가 7-1
"
이당비스트로,양식,3.8,376,https://place.map.kakao.com/27447240,"
인천 남동구 배려터로 9-1
(지번) 수산동 136-1
"
쿠우쿠우 주안역점,해산물뷔페,3.8,149,https://place.map.kakao.com/746904742,"
인천 미추홀구 주안로 116 리가스퀘어 2층
(지번) 주안동 132
"
해송쌈밥,쌈밥,3.4,584,https://place.map.kakao.com/26102259,"
인천 중구 공항서로 177 1~3층
(지번) 남북동 16-33
"
오구당당 본점,쌈밥,4.0,773,https://place.map.kakao.com/13057093,"
인천 부평구 경원대로1377번길 47 1층
(지번) 부평동 546-98
"
신승반점 본점,중국요리,4.1,582,https://place.map.kakao.com/9175466,"
인천 중구 차이나타운로44번길 31-3
(지번) 북성동2가 11-32
"
거궁 송도점,한정식,2.6,1202,https://place.map.kakao.com/481846495,"
인천 연수구 송도국제대로 157 오네스타몰 2층
(지번) 송도동 168-2
"
밀레,양식,3.0,178,https://place.map.kakao.com/634824625,"
인천 부평구 경원대로1130번길 7
(지번) 십정동 168-5
"
수림공원가든,"육류,고기",3.5,132,https://place.map.kakao.com/8432357,"
인천 남동구 주안로 269 A동 1-3층
(지번) 간석동 383-1
"
이학갈비 연수점,갈비,3.5,60,https://place.map.kakao.com/25070813,"
인천 연수구 먼우금로 208 2층
(지번) 연수동 596-4
"
뚝배기이탈리아 부평역점,이탈리안,4.3,754,https://place.map.kakao.com/120792614,"
인천 부평구 광장로4번길 11 중보빌딩 5층 501호
(지번) 부평동 534-28
"
코스모40,카페,4.0,903,https://place.map.kakao.com/1119761448,"
인천 서구 장고개로231번길 9
(지번) 가좌동 556-34
"
선녀풍 2호점,회,2.7,417,https://place.map.kakao.com/1209216204,"
인천 중구 용유서로 386
(지번) 을왕동 779-1
"
황제삼계탕,삼계탕,3.4,180,https://place.map.kakao.com/19230267,"
인천 남동구 예술로 230 청진네오스빌 1층 117-1호
(지번) 구월동 1135-1
"
케이슨24,카페,2.9,205,https://place.map.kakao.com/1598963493,"
인천 연수구 송도동 12-8

"
안스베이커리 송도점,"제과,베이커리",3.5,406,https://place.map.kakao.com/27146757,"
인천 연수구 센트럴로 160 103동 1층
(지번) 송도동 23-5
"
가리비칼국수,칼국수,4.1,157,https://place.map.kakao.com/10954778,"
인천 남동구 오봉동로4번길 9 1층
(지번) 도림동 636-2
"
편가네된장,한식,3.0,535,https://place.map.kakao.com/8120295,"
인천 강화군 화도면 가능포로89번길 11
(지번) 화도면 상방리 599-4
"
변가네옹진냉면,냉면,3.7,219,https://place.map.kakao.com/8454303,"
인천 미추홀구 한나루로586번길 92
(지번) 주안동 509-13
"
마니산산채,한식,3.6,641,https://place.map.kakao.com/17858911,"
인천 강화군 화도면 해안남로 1182
(지번) 화도면 사기리 391
"
