Name,Category,Score,Review_Num,Link,Addr
번네식당,"해물,생선",3.2,981,https://place.map.kakao.com/26884184,"
제주특별자치도 서귀포시 안덕면 일주서로 1606-10 번네식당
(지번) 안덕면 감산리 1723-4
"
고이정 본점,삼겹살,4.2,174,https://place.map.kakao.com/2030021121,"
제주특별자치도 제주시 애월읍 애월로 6 A동 1층
(지번) 애월읍 애월리 2457-1
"
국수만찬,국수,4.5,311,https://place.map.kakao.com/8827972,"
제주특별자치도 제주시 은남3길 1
(지번) 연동 293-58
"
장인의집,한식,3.8,3344,https://place.map.kakao.com/215455040,"
제주특별자치도 제주시 애월읍 애월로19길 31 1층
(지번) 애월읍 애월리 399-1
"
우진해장국,해장국,3.8,6195,https://place.map.kakao.com/11547525,"
제주특별자치도 제주시 서사로 11 1층
(지번) 삼도이동 831
"
뜰에,한식,3.9,289,https://place.map.kakao.com/775448775,"
제주특별자치도 제주시 애월읍 애월로11길 23-1
(지번) 애월읍 애월리 1819-39
"
스테이위드커피,커피전문점,4.4,193,https://place.map.kakao.com/15264554,"
제주특별자치도 제주시 해안마을5길 29
(지번) 해안동 2009-1
"
금복식당,국수,4.4,173,https://place.map.kakao.com/21461466,"
제주특별자치도 제주시 동문로 16 1층
(지번) 일도일동 1150
"
해녀잠수촌,회,2.9,722,https://place.map.kakao.com/9648399,"
제주특별자치도 제주시 서해안로 498
(지번) 용담삼동 2356
"
천짓골,"육류,고기",4.0,236,https://place.map.kakao.com/12501703,"
제주특별자치도 서귀포시 중앙로41번길 4 1층
(지번) 서귀동 294-10
"
삼무국수,국수,3.1,1496,https://place.map.kakao.com/12640510,"
제주특별자치도 제주시 삼무로3길 46-1 1층
(지번) 연동 271-10
"
연돈,"돈까스,우동",3.7,2218,https://place.map.kakao.com/1890778114,"
제주특별자치도 서귀포시 색달로 10 2층
(지번) 색달동 2132-2
"
황해식당 제주공항갈치,"해물,생선",3.7,1686,https://place.map.kakao.com/1995242586,"
제주특별자치도 제주시 일주서로 7682 1층
(지번) 이호이동 174-2
"
노라바,"해물,생선",2.6,500,https://place.map.kakao.com/26352466,"
제주특별자치도 제주시 애월읍 구엄길 100
(지번) 애월읍 구엄리 1287-1
"
은희네해장국 본점,해장국,4.0,435,https://place.map.kakao.com/21499653,"
제주특별자치도 제주시 고마로13길 8 1층
(지번) 일도이동 357-4
"
산방식당 제주점,냉면,3.4,175,https://place.map.kakao.com/17358320,"
제주특별자치도 제주시 구남로8길 10-5
(지번) 이도이동 1999-12
"
해변횟집,회,4.7,99,https://place.map.kakao.com/21253268,"
제주특별자치도 제주시 애월읍 애월해안로 90 1층
(지번) 애월읍 애월리 410-6
"
심바카레,퓨전일식,4.0,124,https://place.map.kakao.com/292550130,"
제주특별자치도 제주시 애월읍 애월로 87-16
(지번) 애월읍 애월리 2100-1
"
정성듬뿍제주국,한식,4.3,92,https://place.map.kakao.com/13325715,"
제주특별자치도 제주시 무근성7길 16 1층
(지번) 삼도이동 1069-2
"
이모밥상,한식,3.7,668,https://place.map.kakao.com/254460688,"
제주특별자치도 제주시 연북로 173
(지번) 연동 456-1
"
다다익고정육점식당,"육류,고기",4.0,104,https://place.map.kakao.com/1227447555,"
제주특별자치도 서귀포시 색달로 25 1층
(지번) 색달동 2137-6
"
삼대국수회관 신제주점,국수,3.6,45,https://place.map.kakao.com/7910666,"
제주특별자치도 제주시 신대로20길 32 1층
(지번) 연동 295
"
아줄레주,카페,4.1,872,https://place.map.kakao.com/2003360746,"
제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동
(지번) 성산읍 신풍리 627
"
