Name,Category,Score,Review_Num,Link,Addr
시장비빔밥,한식,3.6,314,https://place.map.kakao.com/12507627,"
전북특별자치도 익산시 황등면 황등7길 25-8 1층
(지번) 황등면 황등리 584-14
"
맛동순두부,두부전문점,3.1,186,https://place.map.kakao.com/10408377,"
전북특별자치도 익산시 금마면 미륵사지로 397 1층
(지번) 금마면 기양리 135-18
"
지린성,중국요리,2.9,1950,https://place.map.kakao.com/421048086,"
전북특별자치도 군산시 미원로 87 1층
(지번) 미원동 78
"
전북한우협동조합 총체보리한우정육식당 전주점,"육류,고기",2.9,37,https://place.map.kakao.com/2061450574,"
전북특별자치도 전주시 덕진구 숲거리길 20-12
(지번) 전미동1가 305-11
"
할머니국수집,국수,3.7,44,https://place.map.kakao.com/11892455,"
전북특별자치도 완주군 봉동읍 봉동동서로 138-1
(지번) 봉동읍 장기리 160-7
"
사랑오리,오리,3.5,123,https://place.map.kakao.com/1507912669,"
전북특별자치도 전주시 완산구 쑥고개로 247
(지번) 효자동2가 883
"
복성루,중국요리,3.2,561,https://place.map.kakao.com/10379033,"
전북특별자치도 군산시 월명로 382 1층
(지번) 미원동 332
"
중동호떡,간식,3.2,310,https://place.map.kakao.com/9423749,"
전북특별자치도 군산시 서래로 52 1층
(지번) 경암동 365
"
옛촌막걸리 서신본점,한식,4.5,108,https://place.map.kakao.com/8008386,"
전북특별자치도 전주시 완산구 서신천변로 11 1층
(지번) 서신동 843-16
"
진미식당,한식,2.8,177,https://place.map.kakao.com/10776596,"
전북특별자치도 익산시 황등면 황등로 158 1층
(지번) 황등면 황등리 902-11
"
제일산장,한식,5.0,33,https://place.map.kakao.com/1900159096,"
전북특별자치도 완주군 동상면 동상주천로 492
(지번) 동상면 신월리 808
"
전주왱이콩나물국밥전문점,국밥,4.0,1009,https://place.map.kakao.com/26615208,"
전북특별자치도 전주시 완산구 동문길 88 1층
(지번) 경원동2가 12-1
"
한국집,한식,3.1,414,https://place.map.kakao.com/8629568,"
전북특별자치도 전주시 완산구 어진길 119
(지번) 전동 2-1
"
연지본관,설렁탕,3.7,233,https://place.map.kakao.com/9255362,"
전북특별자치도 전주시 완산구 현무1길 15 1층
(지번) 경원동3가 17-16
"
한일옥,한식,3.5,1316,https://place.map.kakao.com/10923986,"
전북특별자치도 군산시 구영3길 63 1층
(지번) 신창동 2-1
"
시장비빔밥,한식,3.6,314,https://place.map.kakao.com/12507627,"
전북특별자치도 익산시 황등면 황등7길 25-8 1층
(지번) 황등면 황등리 584-14
"
맛동순두부,두부전문점,3.1,186,https://place.map.kakao.com/10408377,"
전북특별자치도 익산시 금마면 미륵사지로 397 1층
(지번) 금마면 기양리 135-18
"
지린성,중국요리,2.9,1950,https://place.map.kakao.com/421048086,"
전북특별자치도 군산시 미원로 87 1층
(지번) 미원동 78
"
전북한우협동조합 총체보리한우정육식당 전주점,"육류,고기",2.9,37,https://place.map.kakao.com/2061450574,"
전북특별자치도 전주시 덕진구 숲거리길 20-12
(지번) 전미동1가 305-11
"
할머니국수집,국수,3.7,44,https://place.map.kakao.com/11892455,"
전북특별자치도 완주군 봉동읍 봉동동서로 138-1
(지번) 봉동읍 장기리 160-7
"
사랑오리,오리,3.5,123,https://place.map.kakao.com/1507912669,"
전북특별자치도 전주시 완산구 쑥고개로 247
(지번) 효자동2가 883
"
복성루,중국요리,3.2,561,https://place.map.kakao.com/10379033,"
전북특별자치도 군산시 월명로 382 1층
(지번) 미원동 332
"
중동호떡,간식,3.2,310,https://place.map.kakao.com/9423749,"
전북특별자치도 군산시 서래로 52 1층
(지번) 경암동 365
"
옛촌막걸리 서신본점,한식,4.5,108,https://place.map.kakao.com/8008386,"
전북특별자치도 전주시 완산구 서신천변로 11 1층
(지번) 서신동 843-16
"
진미식당,한식,2.8,177,https://place.map.kakao.com/10776596,"
전북특별자치도 익산시 황등면 황등로 158 1층
(지번) 황등면 황등리 902-11
"
제일산장,한식,5.0,33,https://place.map.kakao.com/1900159096,"
전북특별자치도 완주군 동상면 동상주천로 492
(지번) 동상면 신월리 808
"
전주왱이콩나물국밥전문점,국밥,4.0,1009,https://place.map.kakao.com/26615208,"
전북특별자치도 전주시 완산구 동문길 88 1층
(지번) 경원동2가 12-1
"
한국집,한식,3.1,414,https://place.map.kakao.com/8629568,"
전북특별자치도 전주시 완산구 어진길 119
(지번) 전동 2-1
"
연지본관,설렁탕,3.7,233,https://place.map.kakao.com/9255362,"
전북특별자치도 전주시 완산구 현무1길 15 1층
(지번) 경원동3가 17-16
"
한일옥,한식,3.5,1316,https://place.map.kakao.com/10923986,"
전북특별자치도 군산시 구영3길 63 1층
(지번) 신창동 2-1
"
진미집 본점,실내포장마차,3.5,351,https://place.map.kakao.com/10082639,"
전북특별자치도 전주시 완산구 노송여울2길 106 1층
(지번) 서노송동 655-24
"
김판쇠전주우족탕 본점,한식,3.8,40,https://place.map.kakao.com/19666444,"
전북특별자치도 전주시 덕진구 태진로 132 1층
(지번) 금암동 455-23
"
토궁,"해물,생선",4.4,25,https://place.map.kakao.com/12518462,"
전북특별자치도 전주시 완산구 천잠로 385
(지번) 효자동3가 584-2
"
여수돌섬,회,4.3,17,https://place.map.kakao.com/11101669,"
전북특별자치도 전주시 완산구 새터로 20 1층
(지번) 서신동 937-3
"
우정명태 본점,"해물,생선",4.8,32,https://place.map.kakao.com/9929549,"
전북특별자치도 군산시 하신1길 12
(지번) 나운동 825-4
"
화산춘,갈비,4.5,31,https://place.map.kakao.com/13631150,"
전북특별자치도 전주시 덕진구 송천중앙로 190
(지번) 송천동2가 529-7
"
빕스 전주점,패밀리레스토랑,4.0,201,https://place.map.kakao.com/7920886,"
전북특별자치도 전주시 완산구 백제대로 382 2층
(지번) 서신동 997-10
"
