Name,Category,Score,Review_Num,Link,Addr
솔밭,"육류,고기",4.0,135,https://place.map.kakao.com/16640670,"
울산 중구 함월20길 65
(지번) 성안동 374-1
"
부라더고깃집,"육류,고기",4.6,340,https://place.map.kakao.com/26878626,"
울산 남구 달삼로 57
(지번) 달동 1261-12
"
최고집보쌈 명촌직영점,"족발,보쌈",4.5,317,https://place.map.kakao.com/1281807098,"
울산 북구 명촌3길 13-1 1층
(지번) 진장동 744-3
"
울산언양불고기,"육류,고기",4.3,1137,https://place.map.kakao.com/389019810,"
울산 남구 월평로 205 1,2층
(지번) 삼산동 1505-3
"
미진돌곱창,"곱창,막창",3.6,371,https://place.map.kakao.com/8313117,"
울산 남구 남산로26번길 10 1층
(지번) 무거동 138-9
"
대가야삼계탕 울산점,삼계탕,4.9,120,https://place.map.kakao.com/7815165,"
울산 남구 번영로150번길 21
(지번) 달동 1355-10
"
녹돈당 울산점,갈비,2.8,68,https://place.map.kakao.com/8245769,"
울산 남구 꽃대나리로 23 1층
(지번) 달동 1292-3
"
칠성양곱창,"곱창,막창",3.6,76,https://place.map.kakao.com/9483138,"
울산 남구 삼산중로131번길 30 1층
(지번) 삼산동 1465-11
"
숙성도마 울산삼산점,"육류,고기",4.8,217,https://place.map.kakao.com/704993279,"
울산 남구 달삼로 43-1 1층
(지번) 달동 1262-9
"
호피폴라,카페,4.0,389,https://place.map.kakao.com/622020537,"
울산 울주군 서생면 나사해안길 6
(지번) 서생면 신암리 43-1
"
헤이메르,카페,3.5,207,https://place.map.kakao.com/1149461086,"
울산 울주군 서생면 잿골길 72 1동 1층
(지번) 서생면 진하리 26
"
헤이다이닝,양식,3.5,1101,https://place.map.kakao.com/1049435520,"
울산 남구 돋질로312번길 7
(지번) 삼산동 1550-6
"
원정식육식당,"육류,고기",2.8,114,https://place.map.kakao.com/12093816,"
울산 남구 문수로369번길 44 1층
(지번) 옥동 1386
"
칼삼겹살,삼겹살,4.8,147,https://place.map.kakao.com/13295163,"
울산 남구 왕생로30번길 23 1층
(지번) 달동 1260-5
"
경복궁 숯불구이,"육류,고기",4.1,72,https://place.map.kakao.com/486471340,"
울산 남구 산업로 595
(지번) 삼산동 1656-2
"
부자회관 삼산직영점,"육류,고기",3.9,367,https://place.map.kakao.com/183971297,"
울산 남구 왕생로 43 W43빌딩 1층
(지번) 달동 1250-13
"
정안정 본점,갈비,3.7,87,https://place.map.kakao.com/26591064,"
울산 울주군 삼남읍 서상평길 45-3
(지번) 삼남읍 교동리 1558-5
"
함양집 종가점,한식,3.0,73,https://place.map.kakao.com/1000354237,"
울산 중구 종가8길 51 1,2층
(지번) 복산동 278-12
"
더다이닝원 울산점,해산물뷔페,3.8,182,https://place.map.kakao.com/1940080584,"
울산 중구 종가로 310 M빌딩 9층
(지번) 우정동 498-1
"
언양진미불고기,"육류,고기",3.7,235,https://place.map.kakao.com/11831652,"
울산 울주군 삼남읍 중평로 33
(지번) 삼남읍 교동리 1597-7
"
언양기와집불고기,한식,3.6,1111,https://place.map.kakao.com/16810283,"
울산 울주군 언양읍 헌양길 86
(지번) 언양읍 서부리 13
"
제1능이버섯,한식,4.4,25,https://place.map.kakao.com/25733519,"
울산 남구 남중로108번길 33
(지번) 삼산동 169-6
"
둘둘오리 삼산점,오리,4.0,31,https://place.map.kakao.com/13718991,"
울산 남구 달삼로75번길 5 1층
(지번) 삼산동 1476-7
"
수산시장,"해물,생선",3.8,188,https://place.map.kakao.com/24065084,"
울산 남구 삼산중로 28 1층
(지번) 달동 1299-2
"
언양옛날곰탕,곰탕,3.6,34,https://place.map.kakao.com/9248879,"
울산 울주군 언양읍 장터2길 11-5 1층
(지번) 언양읍 남부리 123-6
"
정안정 삼산점,갈비,4.5,61,https://place.map.kakao.com/471666130,"
울산 남구 돋질로 434
(지번) 삼산동 192-6
"
황족유황먹은족발,"족발,보쌈",2.7,126,https://place.map.kakao.com/12746204,"
울산 남구 삼산로122번길 13 1층
(지번) 달동 702
"
맥도날드 울산삼산로DT점,패스트푸드,3.9,45,https://place.map.kakao.com/26414783,"
울산 남구 삼산로 230
(지번) 달동 1253-1
"
안주일체,"호프,요리주점",3.8,51,https://place.map.kakao.com/920151073,"
울산 남구 왕생로46번길 15
(지번) 달동 1256-3
"
원조대구막창1번지,"곱창,막창",3.9,216,https://place.map.kakao.com/11833930,"
울산 중구 곽남1길 35 1층
(지번) 남외동 343-1
"
아키라,일식집,3.7,403,https://place.map.kakao.com/22606213,"
울산 남구 왕생로62번길 15-1 1층
(지번) 달동 1366-12
"
종가돼지국밥,국밥,4.3,248,https://place.map.kakao.com/16868722,"
울산 남구 중앙로223번길 1 1층
(지번) 신정동 628-19
"
마마꾸,피자,4.5,308,https://place.map.kakao.com/18551552,"
울산 남구 삼산중로84번길 11-9 2층
(지번) 삼산동 1573-12
"
태화강민물장어,장어,3.7,32,https://place.map.kakao.com/317913558,"
울산 남구 수암로53번길 3 2층
(지번) 신정동 799-6
"
밀양시골밥상 태화점,한식,4.2,269,https://place.map.kakao.com/24812530,"
울산 중구 태화강국가정원길 163 1층
(지번) 태화동 431-23
"
안가참숯뒷고기,"육류,고기",3.7,55,https://place.map.kakao.com/16785951,"
울산 남구 신복로6번길 7
(지번) 무거동 1528-4
"
원조거부돌곱창,"곱창,막창",2.6,91,https://place.map.kakao.com/8678386,"
울산 남구 봉월로8번길 9-1 1층
(지번) 신정동 1217-3
"
단잔,"호프,요리주점",4.4,75,https://place.map.kakao.com/470915468,"
울산 남구 왕생로46번길 10 1층
(지번) 달동 1254-4
"
골든드롭,카페,4.1,130,https://place.map.kakao.com/1791716962,"
울산 중구 성안1길 139 1,2층
(지번) 성안동 472-12
"
생선구이생생,"해물,생선",4.4,179,https://place.map.kakao.com/2090833364,"
울산 남구 삼산중로 54 1층
(지번) 삼산동 1474-12
"
갓포이찌,일본식주점,4.7,200,https://place.map.kakao.com/2002173821,"
울산 남구 왕생로20번길 19 1층
(지번) 달동 1283-16
"
포인,카페,4.7,142,https://place.map.kakao.com/491830307,"
울산 남구 삼산중로5번길 16 1층
(지번) 달동 1286-15
"
아니마 울산점,이탈리안,3.3,2536,https://place.map.kakao.com/1308570465,"
울산 남구 왕생로66번길 13
(지번) 달동 1353-6
"
카페 먹,카페,3.7,440,https://place.map.kakao.com/1404441738,"
울산 울주군 상북면 향산다개로 90
(지번) 상북면 지내리 610-1
"
일품장어,장어,4.1,60,https://place.map.kakao.com/1665007540,"
울산 울주군 범서읍 점촌6길 19-5 1층
(지번) 범서읍 구영리 381-7
"
카페머물다,카페,4.3,105,https://place.map.kakao.com/2096295839,"
울산 중구 먹자거리 2-4 1층
(지번) 성남동 228-13
"
효정밥상,"게,대게",3.6,99,https://place.map.kakao.com/15288780,"
울산 울주군 청량읍 신덕하1길 9
(지번) 청량읍 상남리 588
"
문수산상황삼계탕 삼산동직영점,삼계탕,5.0,27,https://place.map.kakao.com/37928766,"
울산 남구 정동로 139 2층
(지번) 삼산동 1531-10
"
환장라멘,일본식라면,4.3,234,https://place.map.kakao.com/1104806887,"
울산 북구 송정17길 3 1층
(지번) 송정동 1217-3
"
삼산가든,이탈리안,3.8,312,https://place.map.kakao.com/169519853,"
울산 남구 삼산로266번길 4 1층
(지번) 삼산동 1474-4
"
샤브자작나무,샤브샤브,3.9,90,https://place.map.kakao.com/714887903,"
울산 남구 월평로 151
(지번) 신정동 37-7
"
호재래,양꼬치,3.5,184,https://place.map.kakao.com/15969236,"
울산 중구 중앙길 77
(지번) 성남동 182-7
"
로즈모스,카페,4.5,145,https://place.map.kakao.com/846499227,"
울산 중구 종가6길 32 KL빌딩 10층
(지번) 우정동 500-12
"
풍천민물장어 상리연,장어,3.0,0,https://place.map.kakao.com/1216597666,"
울산 북구 신기17길 3
(지번) 매곡동 927-6
"
유어가든,이탈리안,4.3,157,https://place.map.kakao.com/1699726434,"
울산 중구 종가6길 22 1층
(지번) 우정동 500-9
"
나마스까르 삼산점,인도음식,4.2,43,https://place.map.kakao.com/12515651,"
울산 남구 삼산중로48번길 11 2층
(지번) 삼산동 1478-7
"
도원,"불고기,두루치기",3.7,29,https://place.map.kakao.com/21965320,"
울산 동구 고늘로 6
(지번) 일산동 938-3
"
남일횟집 울산,회,3.3,15,https://place.map.kakao.com/8874105,"
울산 동구 주전해안길 107
(지번) 주전동 151-4
"
울산밀면전문점 직영점,국수,4.3,61,https://place.map.kakao.com/539260672,"
울산 북구 진장유통로 52-8 1층
(지번) 진장동 284-20
"
교동면옥,냉면,4.3,163,https://place.map.kakao.com/22705736,"
울산 동구 해수욕장5길 8
(지번) 일산동 960-3
"
터미날식당,한식,3.6,31,https://place.map.kakao.com/21324219,"
울산 남구 봉월로 164
(지번) 신정동 521-4
"
수정간장게장&한우시래기국밥,"게,대게",4.3,34,https://place.map.kakao.com/16257540,"
울산 남구 봉월로82번길 50-2 1층
(지번) 신정동 627-1
"
제주집,회,4.1,30,https://place.map.kakao.com/1011216219,"
울산 남구 돋질로446번길 20 1층
(지번) 삼산동 215-6
"
농도,카페,4.3,761,https://place.map.kakao.com/311156284,"
울산 울주군 상북면 명촌길천로 23 1층
(지번) 상북면 등억알프스리 454-39
"
부기타이,태국음식,4.1,175,https://place.map.kakao.com/434306603,"
울산 중구 중앙3길 17 1층
(지번) 성남동 182-21
"
전주거꾸로 콩나물국밥,국밥,4.2,23,https://place.map.kakao.com/8515067,"
울산 남구 번영로156번길 7 1층
(지번) 달동 1343-7
"
떡바우횟집,회,3.8,149,https://place.map.kakao.com/8314682,"
울산 울주군 서생면 신암해안길 13 2층
(지번) 서생면 신암리 372
"
덕수궁 일산점,"육류,고기",4.1,102,https://place.map.kakao.com/18513559,"
울산 동구 해수욕장3길 16 1-4층
(지번) 일산동 957-4
"
신천지대반점 (휴업중),중국요리,3.5,148,https://place.map.kakao.com/16638270,"
울산 중구 당산4길 11 1층
(지번) 우정동 285-12
"
해마지,"굴,전복",3.4,116,https://place.map.kakao.com/27227850,"
울산 동구 동해안로 634 2층
(지번) 주전동 84-3
"
74족발,"족발,보쌈",3.7,339,https://place.map.kakao.com/1300114288,"
울산 남구 돋질로 324 2층
(지번) 삼산동 1544-3
"
호원갈비 유곡점,갈비,4.5,48,https://place.map.kakao.com/251472396,"
울산 중구 종가2길 16 1층
(지번) 유곡동 482-4
"
만담,장어,4.0,169,https://place.map.kakao.com/1060912481,"
울산 남구 삼산중로74번길 25 가동 2층 202호
(지번) 삼산동 1570-7
"
디비디비딥,이탈리안,3.5,97,https://place.map.kakao.com/1262227180,"
울산 중구 화진4길 97-1
(지번) 태화동 171-16
"
