Name,Category,Score,Review_Num,Link,Addr
진성민속촌,감자탕,4.2,270,https://place.map.kakao.com/11315154,"
세종특별자치시 부강면 청연로 125 1층
(지번) 부강면 부강리 1018-12
"
조치원짬뽕 본점,중국요리,4.3,175,https://place.map.kakao.com/24375538,"
세종특별자치시 조치원읍 돌마루2길 7 1층
(지번) 조치원읍 서창리 296-5
"
부강옥 본점,순대,4.0,469,https://place.map.kakao.com/887838514,"
세종특별자치시 부강면 부강외천로 103 1층
(지번) 부강면 문곡리 1069-1
"
행복무지개,갈비,4.4,24,https://place.map.kakao.com/242412377,"
세종특별자치시 조치원읍 죽림로 27
(지번) 조치원읍 죽림리 100-2
"
양평칼국수,칼국수,4.4,106,https://place.map.kakao.com/172618246,"
세종특별자치시 조치원읍 침산로 4 1층
(지번) 조치원읍 침산리 80
"
산장가든,갈비,2.9,631,https://place.map.kakao.com/11058055,"
세종특별자치시 연서면 도신고복로 1131-7 1-2층
(지번) 연서면 고복리 32
"
남포동갈비 세종점,갈비,3.7,77,https://place.map.kakao.com/26918149,"
세종특별자치시 장군면 당암길 42 1동 2층 201~204호
(지번) 장군면 봉안리 39-6
"
도가네매운탕,"매운탕,해물탕",4.4,136,https://place.map.kakao.com/19832335,"
세종특별자치시 연서면 도신고복로 585 1-2층
(지번) 연서면 용암리 204-6
"
온기,양식,3.9,328,https://place.map.kakao.com/391720570,"
세종특별자치시 나성북로 47 나릿재마을4단지 b119, 120, 137호
(지번) 나성동 356-2
"
다이닝더인드라 보람점,인도음식,4.3,91,https://place.map.kakao.com/869037819,"
세종특별자치시 시청대로 219 시드니하트 3층 307,308호
(지번) 보람동 712
"
고기냉면을화옥 본점,냉면,4.0,72,https://place.map.kakao.com/49629379,"
세종특별자치시 조치원읍 세종로 2685-39 1-2층
(지번) 조치원읍 신안리 173
"
토바우안심한우마을,"육류,고기",3.5,45,https://place.map.kakao.com/2092315128,"
세종특별자치시 장군면 월현윗길 173-12 2,3층
(지번) 장군면 봉안리 201-42
"
빠스타스,양식,3.7,212,https://place.map.kakao.com/940879473,"
세종특별자치시 달빛로 43 금강빌딩 1층 & 4층
(지번) 종촌동 668
"
모디스트임팩트,커피전문점,4.6,3,https://place.map.kakao.com/1671702958,"
세종특별자치시 조치원읍 으뜸길 233 1층
(지번) 조치원읍 원리 141-47
"
대왕해물손칼국수 세종조치원점,칼국수,4.2,230,https://place.map.kakao.com/1915067303,"
세종특별자치시 연서면 도신고복로 913 1층
(지번) 연서면 고복리 442-2
"
넥타이맨,"해물,생선",4.2,91,https://place.map.kakao.com/748481886,"
세종특별자치시 나성북로 30 퍼스트원 2층 230~231호
(지번) 나성동 809
"
맥선생,한식,4.0,93,https://place.map.kakao.com/1285400941,"
세종특별자치시 금남면 호탄길 46 1층
(지번) 금남면 호탄리 153
"
성경만두요리전문점 세종금남점,한식,4.5,39,https://place.map.kakao.com/1830464078,"
세종특별자치시 금남면 금남구즉로 110-9 대성빌딩 201호
(지번) 금남면 신촌리 113-1
"
