Name,Category,Score,Review_Num,Link,Addr
을밀대 본점,냉면,4.2,1146,https://place.map.kakao.com/25048467,"
서울 마포구 숭문길 24 1층
(지번) 염리동 147-6
"
진주집,국수,3.9,3853,https://place.map.kakao.com/8094563,"
서울 영등포구 국제금융로6길 33 지하1층 5,6,7,27,28호
(지번) 여의도동 36-2
"
유림 닭도리탕,닭요리,3.4,786,https://place.map.kakao.com/9370927,"
서울 강서구 공항대로71길 5
(지번) 염창동 280-6
"
원조호수삼계탕 본점,삼계탕,3.5,263,https://place.map.kakao.com/8510748,"
서울 영등포구 도림로 276 1층
(지번) 신길동 342-108
"
을밀대 강남점,냉면,3.6,343,https://place.map.kakao.com/12418029,"
서울 강남구 테헤란로4길 46 지하1층
(지번) 역삼동 826-37
"
만배아리랑,"족발,보쌈",4.1,18,https://place.map.kakao.com/198136066,"
서울 강서구 화곡로18길 24 강서뉴타워 1층 111,113호
(지번) 화곡동 1071-19
"
우정,떡볶이,3.3,1401,https://place.map.kakao.com/27388900,"
서울 중구 퇴계로76길 55 1층
(지번) 신당동 304-791
"
청수,냉면,2.9,264,https://place.map.kakao.com/20746105,"
서울 영등포구 국제금융로 112 1층
(지번) 여의도동 53-11
"
옥경이네건생선,"해물,생선",3.3,1095,https://place.map.kakao.com/27584176,"
서울 중구 퇴계로85길 7 신당중앙시장 1층
(지번) 황학동 723-2
"
장인닭갈비 강남점,닭요리,3.6,2725,https://place.map.kakao.com/95713992,"
서울 강남구 테헤란로1길 19 지하 1층
(지번) 역삼동 820-1
"
을지면옥,냉면,3.9,598,https://place.map.kakao.com/1106001789,"
서울 종로구 삼일대로30길 12 1층
(지번) 낙원동 55-1
"
봉밀가 강남구청점,한식,4.4,136,https://place.map.kakao.com/26794399,"
서울 강남구 선릉로 664 1층
(지번) 삼성동 8-1
"
중앙해장,해장국,4.1,1720,https://place.map.kakao.com/27531028,"
서울 강남구 영동대로86길 17 육인빌딩 1층
(지번) 대치동 996-16
"
밍글스,한식,4.2,290,https://place.map.kakao.com/24073852,"
서울 강남구 도산대로67길 19 힐탑빌딩 2층
(지번) 청담동 94-6
"
서궁,중국요리,3.5,177,https://place.map.kakao.com/10500536,"
서울 영등포구 국제금융로 86 롯데캐슬아이비 지하1층
(지번) 여의도동 43-4
"
광화문국밥 본점,국밥,4.0,316,https://place.map.kakao.com/2067124772,"
서울 중구 세종대로21길 53 1층
(지번) 정동 1-48
"
농민백암순대 본점,국밥,4.5,1456,https://place.map.kakao.com/17163273,"
서울 강남구 선릉로86길 40-4 알앤지타운 1층
(지번) 대치동 896-33
"
일품진진수라 광화문점,한정식,4.0,130,https://place.map.kakao.com/967729291,"
서울 종로구 종로5길 7 타워8빌딩 지하2층 201~206호
(지번) 청진동 128
"
울프강스테이크하우스,"스테이크,립",3.7,1407,https://place.map.kakao.com/26572124,"
서울 강남구 선릉로152길 21 영인빌딩 1층
(지번) 청담동 89-6
"
평양면옥,냉면,3.3,194,https://place.map.kakao.com/8130016,"
서울 강남구 논현로150길 6 1층
(지번) 논현동 66-2
"
혜화도담,한식,4.1,351,https://place.map.kakao.com/497931179,"
서울 종로구 대명1길 16-6 1층
(지번) 명륜4가 48-2
"
텍사스데브라질 센트럴시티점,양식,3.7,959,https://place.map.kakao.com/26930532,"
서울 서초구 사평대로 205 1층
(지번) 반포동 118-3
"
대련집,칼국수,3.3,1615,https://place.map.kakao.com/7818113,"
서울 종로구 종로16길 37 1층
(지번) 관수동 163
"
마녀주방 강남점,이탈리안,3.8,289,https://place.map.kakao.com/26330643,"
서울 강남구 강남대로94길 9 크리스탈빌딩 지하1,지하2층
(지번) 역삼동 818-14
"
진진,중식,3.6,395,https://place.map.kakao.com/1767349854,"
서울 마포구 월드컵북로1길 60 1층
(지번) 서교동 375-35
"
디라이프 스타일키친 광화문점,양식,3.8,453,https://place.map.kakao.com/444516464,"
서울 중구 세종대로 136 서울파이낸스센터 지하1층 101A호
(지번) 태평로1가 84
"
필동면옥,냉면,3.7,1439,https://place.map.kakao.com/11231325,"
서울 중구 서애로 26 1-2층
(지번) 필동3가 1-5
"
하나로회관,한정식,3.9,97,https://place.map.kakao.com/8641005,"
서울 종로구 인사동5길 25 하나로빌딩 지하1층
(지번) 인사동 194-4
"
몽중헌 청담점,중국요리,3.8,287,https://place.map.kakao.com/12140312,"
서울 강남구 도산대로 445 엠빌딩 지하1층
(지번) 청담동 97
"
명인등심 압구정본점,"육류,고기",4.3,88,https://place.map.kakao.com/21401237,"
서울 강남구 도산대로 211 동현빌딩 2층
(지번) 신사동 587-14
"
